#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	0	0.069878	-0.0717041	2.02613
50.2655	1.5708	0.122756	0.064758	0.472464
50.2655	3.14159	-0.576392	0.0336593	1.0584
50.2655	4.71239	-0.442545	-0.0969076	0.781022
50.2655	6.28319	-0.267746	-0.049089	0.816658
50.2655	7.85398	0.0635352	-0.127703	3.00995
50.2655	9.42478	0.544278	-0.031014	1.05698
50.2655	10.9956	-0.065784	0.186558	3.83591
50.2655	12.5664	0.230375	-0.0683836	1.29684
50.2655	14.1372	-0.032644	-0.102507	-2.14016
50.2655	15.708	0.304767	-0.00818757	1.02686
50.2655	17.2788	-0.00507814	-0.00337991	0.33442
50.2655	18.8496	-0.0910492	0.0809546	1.88913
50.2655	20.4204	0.0936267	-0.0511885	1.54673
50.2655	21.9911	-0.189852	-0.079123	0.583239
50.2655	23.5619	-0.524629	0.0999949	1.1906
50.2655	25.1327	0.0934029	-0.0304063	1.32554
50.2655	26.7035	0.182653	0.0280217	0.846585
50.2655	28.2743	0.244391	0.236371	0.0328139
50.2655	29.8451	0.64371	-0.176227	1.27377
50.2655	31.4159	0.431123	-0.228842	1.53081
50.2655	32.9867	0.0820407	-0.187215	3.28197
50.2655	34.5575	0.0306539	-0.118068	4.85164
50.2655	36.1283	-0.789855	-0.254405	0.67791
50.2655	37.6991	-1.27818	-0.362503	0.71639
50.2655	39.2699	-1.13988	-0.149829	0.868557
50.2655	40.8407	-0.887848	-0.00449917	0.994933
50.2655	42.4115	-0.233387	-0.0454633	0.805202
50.2655	43.9823	-0.221606	0.177786	1.80226
50.2655	45.5531	-0.554231	0.270522	1.4881
50.2655	47.1239	-0.226279	0.136121	1.60156
50.2655	48.6947	-0.0241143	-0.020519	0.149093
50.2655	50.2655	-0.292588	-0.09679	0.669193
50.2655	51.8363	-0.375754	0.0555432	1.14782
50.2655	53.4071	0.282128	0.000887979	0.996853
50.2655	54.9779	0.945843	-0.0222228	1.0235
50.2655	56.5487	0.747827	-0.055352	1.07402
50.2655	58.1195	-0.220674	0.034778	1.1576
50.2655	59.6903	-0.752472	-0.0990408	0.868379
50.2655	61.2611	-0.828206	0.0298103	1.03599
50.2655	62.8319	0.0510218	-0.0157246	1.30819
50.2655	64.4026	0.0756013	0.200479	-1.65179
50.2655	65.9734	0.014754	0.170082	-10.5279
50.2655	67.5442	-0.296732	-0.165836	0.441127
50.2655	69.115	-0.243049	-0.160073	0.341399
50.2655	70.6858	-0.206737	-0.102155	0.50587
50.2655	72.2566	-0.581399	-0.120395	0.792922
50.2655	73.8274	-0.304039	0.245732	1.80822
50.2655	75.3982	0.0172815	0.122164	-6.06902
50.2655	76.969	0.192947	-0.273895	2.41954
50.2655	78.5398	0.235377	-0.0438301	1.18621
50.2655	80.1106	0.267838	-0.213686	1.79782
50.2655	81.6814	0.419477	-0.168351	1.40134
50.2655	83.2522	0.250118	0.2404	0.0388531
50.2655	84.823	-0.0284104	0.00646627	1.2276
50.2655	86.3938	0.163534	-0.102491	1.62673
50.2655	87.9646	0.307737	0.148745	0.51665
50.2655	89.5354	0.596145	0.122045	0.795277
50.2655	91.1062	0.600581	-0.0650581	1.10833
50.2655	92.677	0.0118512	-0.430578	37.332
50.2655	94.2478	-0.319134	-0.601529	-0.884881
50.2655	95.8186	-0.554132	-0.413626	0.25356
50.2655	97.3894	-0.211899	0.055356	1.26124
50.2655	98.9602	0.0313796	0.0654161	-1.08467
50.2655	100.531	0.0485042	-0.164041	4.382
50.2655	102.102	-0.274343	-0.280838	-0.0236725
50.2655	103.673	-0.684359	-0.601228	0.121474
50.2655	105.243	-0.476204	-0.135335	0.715804
50.2655	106.814	0.033046	-0.201294	7.09131
50.2655	108.385	0.477127	-0.74527	2.562
50.2655	109.956	0.53546	-0.347413	1.64881
50.2655	111.527	0.0995486	0.0526627	0.470985
50.2655	113.097	-0.0875341	0.0627405	1.71675
50.2655	114.668	-0.136518	0.28348	3.0765
50.2655	116.239	-0.0569546	0.152831	3.68338
50.2655	117.81	-0.0441735	0.296571	7.71379
50.2655	119.381	-0.282061	0.578259	3.05012
50.2655	120.951	-0.335945	0.765935	3.27994
50.2655	122.522	4.17632e-05	0.736426	-17632.4
50.2655	124.093	0.291235	0.784801	-1.69473
50.2655	125.664	0.148816	0.703796	-3.72931
50.2655	127.235	-0.140404	-0.205308	-0.462271
50.2655	128.805	-0.0680053	-0.146918	-1.16039
50.2655	130.376	0.161444	0.468979	-1.90491
50.2655	131.947	0.0634995	0.359917	-4.66803
50.2655	133.518	-0.0184256	0.285564	16.4982
50.2655	135.088	0.0917729	-0.115613	2.25977
50.2655	136.659	0.196925	-0.144232	1.73242
50.2655	138.23	0.199216	0.505113	-1.5355
50.2655	139.801	0.147739	0.731475	-3.95114
50.2655	141.372	0.0686833	0.235751	-2.43244
50.2655	142.942	0.0521151	-0.46843	9.98837
50.2655	144.513	0.0986643	-0.405061	5.10544
50.2655	146.084	0.220617	0.0364949	0.834578
50.2655	147.655	0.0716158	0.753213	-9.51741
50.2655	149.226	-0.0853265	0.421522	5.94011
50.2655	150.796	-0.153131	-0.493156	-2.22048
50.2655	152.367	-0.538998	0.0338093	1.06273
50.2655	153.938	-0.17052	0.745131	5.36976
50.2655	155.509	0.0244406	0.265291	-9.85454
50.2655	157.08	-0.0931203	-0.114665	-0.231363
50.2655	158.65	0.221147	0.678963	-2.07019
50.2655	160.221	0.285271	0.270715	0.0510246
50.2655	161.792	0.0491683	-0.342175	7.95927
50.2655	163.363	-0.476757	0.595145	2.24832
50.2655	164.934	-0.515686	0.856736	2.66135
50.2655	166.504	-0.347392	-0.239922	0.309363
50.2655	168.075	0.0252202	0.156867	-5.2199
50.2655	169.646	0.380662	0.280216	0.263873
50.2655	171.217	0.256342	-0.839383	4.27446
50.2655	172.788	0.299293	-1.2216	5.08162
50.2655	174.358	-0.0229261	-0.0423962	-0.849254
50.2655	175.929	-0.397052	-0.230068	0.42056
50.2655	177.5	-0.176578	-1.15927	-5.56519
50.2655	179.071	-0.20558	-1.06716	-4.19098
50.2655	180.642	-0.233393	-0.480117	-1.05712
50.2655	182.212	0.214463	0.324424	-0.512728
50.2655	183.783	0.316947	-1.00066	4.15719
50.2655	185.354	-0.258178	-0.573083	-1.21972
50.2655	186.925	-0.178919	0.464673	3.59712
50.2655	188.496	0.308895	0.351947	-0.139373
50.2655	190.066	-0.286573	0.465999	2.62611
50.2655	191.637	-0.508173	-1.18814	-1.33806
50.2655	193.208	-0.0759464	-0.274989	-2.62082
50.2655	194.779	0.071351	0.833148	-10.6768
50.2655	196.35	0.266016	0.14845	0.44195
50.2655	197.92	0.108495	-0.192469	2.774
50.2655	199.491	0.000798106	0.167154	-208.439

51.0509	0	0.0526019	-0.0169877	1.32295
51.0509	1.5708	-0.54925	-0.0414481	0.924537
51.0509	3.14159	-0.169795	-0.05834	0.656409
51.0509	4.71239	-0.780404	-0.272482	0.650845
51.0509	6.28319	0.110257	-0.0691248	1.62695
51.0509	7.85398	0.674477	-0.0912992	1.13536
51.0509	9.42478	0.355185	-0.198234	1.55812
51.0509	10.9956	-0.431984	0.00480905	1.01113
51.0509	12.5664	-0.260621	-0.0260554	0.900026
51.0509	14.1372	-0.33048	-0.0636532	0.807392
51.0509	15.708	0.404218	0.0249918	0.938172
51.0509	17.2788	-0.192783	0.158217	1.8207
51.0509	18.8496	-0.022147	0.110846	6.00502
51.0509	20.4204	0.31218	-0.159555	1.5111
51.0509	21.9911	0.241519	-0.246406	2.02024
51.0509	23.5619	-0.106647	-0.0353018	0.668986
51.0509	25.1327	0.0634612	0.0714862	-0.126455
51.0509	26.7035	0.0825499	0.117939	-0.428702
51.0509	28.2743	0.249081	0.247171	0.00766699
51.0509	29.8451	0.321688	-0.0433381	1.13472
51.0509	31.4159	-0.41762	0.0148609	1.03558
51.0509	32.9867	0.0324193	0.104477	-2.22268
51.0509	34.5575	0.296864	0.294841	0.00681709
51.0509	36.1283	-0.683735	0.315428	1.46133
