#b 	 momk 	 DP 	 WW 
0	0	-27.2381	-37.2732
0.0441942	0	-8.63381	-23.2024
0.0883883	0	23.8501	-27.6779
0.132583	0	-2.14835	-45.5515
0.176777	0	30.0015	-31.8647
0.220971	0	-11.4866	-14.2634
0.265165	0	-8.57434	-10.9223
0.309359	0	48.4206	-58.688
0.353553	0	52.548	22.2371
0.397748	0	-18.7579	9.80171
0.441942	0	-18.8256	-5.88556
0.486136	0	3.82614	7.47459
0.53033	0	11.2051	2.93062
0.574524	0	-5.04023	-21.8983
0.618718	0	-36.0812	-3.76778
0.662913	0	-1.99163	-31.4107
0.707107	0	8.01181	-5.98269
0.751301	0	-1.98406	-8.42485
0.795495	0	-4.41965	11.9951
0.839689	0	-9.66106	4.20045
0.883883	0	-8.80247	9.13242
0.928078	0	10.69	-12.6034
0.972272	0	21.2175	0.783476
1.01647	0	18.3727	-8.1698
1.06066	0	14.2941	-9.86165
1.10485	0	10.7216	-3.68702
1.14905	0	13.6278	0.395879
1.19324	0	10.3412	-1.51538
1.23744	0	6.77036	-2.44575
1.28163	0	3.31995	-2.13924
1.32583	0	2.59278	-0.60533
1.37002	0	1.44025	0.121464
1.41421	0	1.58549	0.582626
1.45841	0	1.02316	0.320747
1.5026	0	1.41731	0.342323
1.5468	0	1.4034	0.910214
1.59099	0	1.30912	0.899476
1.63518	0	0.89343	0.337061
1.67938	0	1.07649	0.210066
1.72357	0	0.802709	0.220337
1.76777	0	0.799882	0.329353
1.81196	0	0.663487	0.284003
1.85616	0	0.506699	0.152797
1.90035	0	0.446664	0.0931967
1.94454	0	0.393583	0.0844687
1.98874	0	0.358802	0.0683354
2.03293	0	0.274833	0.0582939
2.07713	0	0.206839	0.0314555
2.12132	0	0.159127	0.0366246
2.16551	0	0.117179	0.0122419
2.20971	0	0.0976815	0.00908028
2.2539	0	0.0822103	0.012701
2.2981	0	0.0655474	0.014021
2.34229	0	0.0549435	0.0110292
2.38649	0	0.0450984	0.0092467
2.43068	0	0.0367327	0.00746098
2.47487	0	0.028427	0.00864957
2.51907	0	0.0235393	0.00754084
2.56326	0	0.0196403	0.00701547
2.60746	0	0.0161424	0.00576867
2.65165	0	0.0119927	0.0038921
2.69584	0	0.0089906	0.00255617
2.74004	0	0.00667983	0.00119493
2.78423	0	0.00524991	0.000948159
2.82843	0	0.00425143	0.000797543
2.87262	0	0.00350964	0.000467783
2.91682	0	0.00261851	0.000191466
2.96101	0	0.00206046	0.000244363
3.0052	0	0.00146912	0.000141008
3.0494	0	0.00113793	0.000108155
3.09359	0	0.000876145	5.4978e-05
3.13779	0	0.000655939	8.59774e-06
3.18198	0	0.000513609	4.27244e-05
3.22617	0	0.000384563	3.04412e-05
3.27037	0	0.000299575	3.25096e-05
3.31456	0	0.000235715	3.35216e-05
3.35876	0	0.000185654	3.77451e-05
3.40295	0	0.000144272	2.75872e-05
3.44715	0	0.000118534	1.84382e-05
3.49134	0	9.78693e-05	1.50007e-05
3.53553	0	8.04126e-05	1.15644e-05
3.57973	0	5.97722e-05	5.11431e-06
3.62392	0	4.40959e-05	2.08249e-06
3.66812	0	3.22082e-05	1.10547e-06
3.71231	0	2.52573e-05	1.54119e-06
3.7565	0	1.82838e-05	1.56818e-06
3.8007	0	1.47895e-05	6.5497e-07
3.84489	0	1.14938e-05	2.01562e-07
3.88909	0	8.87842e-06	-1.73303e-07
3.93328	0	7.11061e-06	8.19617e-07
3.97748	0	5.42443e-06	6.70877e-07
4.02167	0	4.14075e-06	7.82439e-07
4.06586	0	3.34157e-06	5.23224e-07
4.11006	0	2.56502e-06	6.73545e-07
4.15425	0	2.0889e-06	4.46063e-07
4.19845	0	1.46051e-06	3.60312e-07
4.24264	0	1.21744e-06	3.7219e-07
4.28683	0	9.19022e-07	1.86117e-07
4.33103	0	7.64418e-07	8.54364e-08
4.37522	0	5.8015e-07	1.02216e-07
4.41942	0	4.83361e-07	5.61929e-08
4.46361	0	3.42133e-07	7.66249e-08
4.50781	0	3.12269e-07	6.97498e-08
4.552	0	2.23065e-07	6.31117e-08
4.59619	0	1.97852e-07	6.43366e-08
4.64039	0	1.4392e-07	4.17522e-08
4.68458	0	1.21441e-07	4.37338e-08
4.72878	0	8.34888e-08	3.20855e-08
4.77297	0	7.40939e-08	2.53435e-08
4.81716	0	5.36565e-08	1.469e-08
4.86136	0	4.60567e-08	1.36861e-08
4.90555	0	3.40511e-08	1.35596e-08
4.94975	0	2.84305e-08	1.2267e-08
4.99394	0	1.78639e-08	9.09614e-09
5.03814	0	1.47558e-08	7.97581e-09
5.08233	0	1.05986e-08	6.0321e-09
5.12652	0	1.07927e-08	5.88475e-09
5.17072	0	6.85591e-09	3.32352e-09
5.21491	0	5.3986e-09	3.10997e-09
5.25911	0	3.61234e-09	1.87555e-09
5.3033	0	3.16059e-09	1.6396e-09
5.3475	0	1.92169e-09	1.02695e-09
5.39169	0	1.61521e-09	7.60572e-10
5.43588	0	9.85564e-10	5.21826e-10
5.48008	0	8.54002e-10	6.30271e-10
5.52427	0	6.87233e-10	6.2673e-10
5.56847	0	4.74655e-10	6.35e-10
5.61266	0	3.75202e-10	5.48681e-10

0	1	-30.6746	-33.2403
0.0441942	1	-8.5745	-19.8698
0.0883883	1	23.1073	-25.0822
0.132583	1	-4.66817	-38.338
0.176777	1	27.1162	-28.6253
0.220971	1	-8.04566	-14.2668
0.265165	1	-6.96171	-7.28328
0.309359	1	44.271	-52.1966
0.353553	1	51.5084	21.5792
0.397748	1	-16.1942	8.49007
0.441942	1	-14.5768	-7.66087
0.486136	1	9.07818	7.863
0.53033	1	12.7301	7.34595
0.574524	1	-0.748898	-17.0627
0.618718	1	-31.4564	-2.49653
0.662913	1	-3.08808	-30.9515
0.707107	1	4.94598	-4.62201
0.751301	1	-2.88007	-6.56682
0.795495	1	-2.3969	10.0205
0.839689	1	-8.37129	3.75258
0.883883	1	-7.84088	7.97098
0.928078	1	9.94787	-12.6714
0.972272	1	20.3343	0.129795
1.01647	1	16.67	-5.92049
1.06066	1	13.1203	-7.00196
1.10485	1	9.30481	-2.30923
1.14905	1	11.8096	0.862561
1.19324	1	8.87373	-1.07378
1.23744	1	5.691	-1.69433
1.28163	1	3.11698	-1.4701
1.32583	1	2.45023	-0.359804
1.37002	1	1.48719	0.276753
1.41421	1	1.77801	0.626413
1.45841	1	1.23587	0.325567
1.5026	1	1.53103	0.298746
1.5468	1	1.41725	0.796348
1.59099	1	1.31649	0.800877
1.63518	1	0.928725	0.309668
1.67938	1	1.01772	0.214007
1.72357	1	0.808168	0.239914
1.76777	1	0.764021	0.300618
1.81196	1	0.647765	0.249252
1.85616	1	0.480386	0.148067
1.90035	1	0.415749	0.0928655
1.94454	1	0.353645	0.0653019
1.98874	1	0.323631	0.058702
2.03293	1	0.248687	0.0520181
2.07713	1	0.182279	0.0340346
2.12132	1	0.132247	0.03046
2.16551	1	0.0934151	0.0132351
2.20971	1	0.0729706	0.0107677
2.2539	1	0.0603635	0.011053
2.2981	1	0.0475397	0.0108023
2.34229	1	0.0401988	0.0086959
2.38649	1	0.0323125	0.00696869
2.43068	1	0.0257288	0.00605695
2.47487	1	0.0187749	0.00644987
2.51907	1	0.0153045	0.00520667
2.56326	1	0.0123748	0.00519924
2.60746	1	0.0102732	0.00413837
2.65165	1	0.00752808	0.00298167
2.69584	1	0.00567967	0.002257
2.74004	1	0.00406526	0.00117554
2.78423	1	0.00310665	0.000880668
2.82843	1	0.00250201	0.000728811
2.87262	1	0.00207764	0.00043262
2.91682	1	0.00154932	0.000237315
2.96101	1	0.00117664	0.00018393
3.0052	1	0.000768818	8.11686e-05
3.0494	1	0.000602901	5.50735e-05
3.09359	1	0.000465618	3.7752e-05
3.13779	1	0.000339827	-6.9658e-06
3.18198	1	0.000269685	2.35004e-05
3.22617	1	0.00020414	1.46822e-05
3.27037	1	0.000150823	2.20431e-05
3.31456	1	0.00012337	2.09494e-05
3.35876	1	9.56576e-05	2.11205e-05
3.40295	1	7.88415e-05	1.36278e-05
3.44715	1	6.44658e-05	1.04163e-05
3.49134	1	5.59558e-05	8.7669e-06
3.53553	1	4.45391e-05	5.61596e-06
3.57973	1	3.38019e-05	1.27925e-06
3.62392	1	2.52692e-05	1.98082e-07
3.66812	1	1.92375e-05	-1.54116e-07
3.71231	1	1.48092e-05	5.28659e-07
