#rap 	 c_2_4 	 error 	 s_2_4 	 error 	 c_2_2 	 error 
0	-4.33649e-16	1.71475e-16	9.55576e-20	1.45612e-19	1.47266e-08	4.11675e-09
1	-3.03094e-16	6.00256e-16	4.86638e-16	4.86005e-16	1.98712e-08	6.26796e-09
2	-1.16319e-15	3.26187e-16	6.11418e-18	5.77479e-18	2.41796e-08	4.76875e-09
3	-2.45037e-15	9.32133e-16	8.67197e-19	4.38864e-19	3.50089e-08	9.41358e-09
4	-1.0744e-14	6.8527e-15	4.9103e-17	3.30829e-17	7.34612e-08	3.29802e-08
5	-3.90685e-15	8.21532e-16	3.97302e-17	5.40995e-17	4.44217e-08	6.5244e-09
6	-1.18511e-14	2.47453e-15	6.55785e-16	4.19861e-16	7.90786e-08	1.0903e-08
7	-3.80821e-14	8.54707e-15	2.45603e-15	1.34285e-15	1.42369e-07	2.09618e-08
8	-6.20592e-14	9.64829e-15	1.99085e-16	8.99976e-17	1.76435e-07	1.93332e-08
9	-1.12816e-13	1.9797e-14	4.91603e-15	3.8677e-15	2.42623e-07	2.82925e-08
10	-2.97628e-13	4.8876e-14	3.52154e-14	2.29287e-14	4.07948e-07	3.74087e-08
