#b 	 momk 	 DP 	 WW 
0	0	19.0675	0
0.0441942	0	19.0721	0
0.0883883	0	19.0915	0
0.132583	0	19.1322	0
0.176777	0	19.2152	0
0.220971	0	19.3138	0
0.265165	0	19.4399	0
0.309359	0	19.5744	0
0.353553	0	19.7409	0
0.397748	0	19.9016	0
0.441942	0	20.0702	0
0.486136	0	20.2331	0
0.53033	0	20.4362	0
0.574524	0	20.6595	0
0.618718	0	20.9065	0
0.662913	0	21.1687	0
0.707107	0	21.473	0
0.751301	0	21.8215	0
0.795495	0	22.1867	0
0.839689	0	22.5626	0
0.883883	0	22.9588	0
0.928078	0	23.3854	0
0.972272	0	23.8275	0
1.01647	0	24.2674	0
1.06066	0	24.7139	0
1.10485	0	25.1719	0
1.14905	0	25.6484	0
1.19324	0	26.137	0
1.23744	0	26.6294	0
1.28163	0	27.1179	0
1.32583	0	27.6115	0
1.37002	0	28.0992	0
1.41421	0	28.5863	0
1.45841	0	29.067	0
1.5026	0	29.5465	0
1.5468	0	30.0248	0
1.59099	0	30.502	0
1.63518	0	30.9763	0
1.67938	0	31.4446	0
1.72357	0	31.9085	0
1.76777	0	32.3647	0
1.81196	0	32.8107	0
1.85616	0	33.244	0
1.90035	0	33.6649	0
1.94454	0	34.0736	0
1.98874	0	34.4698	0
2.03293	0	34.8515	0
2.07713	0	35.218	0
2.12132	0	35.5681	0
2.16551	0	35.9021	0
2.20971	0	36.2191	0
2.2539	0	36.5193	0
2.2981	0	36.8021	0
2.34229	0	37.0678	0
2.38649	0	37.3161	0
2.43068	0	37.5474	0
2.47487	0	37.7617	0
2.51907	0	37.9594	0
2.56326	0	38.1409	0
2.60746	0	38.3064	0
2.65165	0	38.4565	0
2.69584	0	38.5911	0
2.74004	0	38.7112	0
2.78423	0	38.8165	0
2.82843	0	38.9083	0
2.87262	0	38.9857	0
2.91682	0	39.0508	0
2.96101	0	39.1016	0
3.0052	0	39.141	0
3.0494	0	39.166	0
3.09359	0	39.1801	0
3.13779	0	39.1792	0
3.18198	0	39.1675	0
3.22617	0	39.1404	0
3.27037	0	39.103	0
3.31456	0	39.0493	0
3.35876	0	38.9849	0
3.40295	0	38.9026	0
3.44715	0	38.8094	0
3.49134	0	38.6969	0
3.53553	0	38.5727	0
3.57973	0	38.4275	0
3.62392	0	38.27	0
3.66812	0	38.0896	0
3.71231	0	37.8959	0
3.7565	0	37.6768	0
3.8007	0	37.4433	0
3.84489	0	37.1815	0
3.88909	0	36.9038	0
3.93328	0	36.5952	0
3.97748	0	36.2691	0
4.02167	0	35.9092	0
4.06586	0	35.5304	0
4.11006	0	35.1149	0
4.15425	0	34.6787	0
4.19845	0	34.2031	0
4.24264	0	33.7051	0
4.28683	0	33.1653	0
4.33103	0	32.6013	0
4.37522	0	31.9936	0
4.41942	0	31.3601	0
4.46361	0	30.6813	0
4.50781	0	29.9753	0
4.552	0	29.223	0
4.59619	0	28.4425	0
4.64039	0	27.6153	0
4.68458	0	26.7591	0
4.72878	0	25.8567	0
4.77297	0	24.9248	0
4.81716	0	23.948	0
4.86136	0	22.9417	0
4.90555	0	21.8925	0
4.94975	0	20.8144	0
4.99394	0	19.6961	0
5.03814	0	18.5501	0
5.08233	0	17.3675	0
5.12652	0	16.1589	0
5.17072	0	14.9178	0
5.21491	0	13.6532	0
5.25911	0	12.3608	0
5.3033	0	11.048	0
5.3475	0	9.71262	0
5.39169	0	8.36044	0
5.43588	0	6.99126	0
5.48008	0	5.6095	0
5.52427	0	4.21644	0
5.56847	0	2.81556	0
5.61266	0	1.4091	0

0	0.111111	18.7657	0
0.0441942	0.111111	18.7703	0
0.0883883	0.111111	18.7896	0
0.132583	0.111111	18.8301	0
0.176777	0.111111	18.9127	0
0.220971	0.111111	19.0108	0
0.265165	0.111111	19.1364	0
0.309359	0.111111	19.2703	0
0.353553	0.111111	19.4362	0
0.397748	0.111111	19.5962	0
0.441942	0.111111	19.7641	0
0.486136	0.111111	19.9263	0
0.53033	0.111111	20.1284	0
0.574524	0.111111	20.3506	0
0.618718	0.111111	20.5964	0
0.662913	0.111111	20.8573	0
0.707107	0.111111	21.1602	0
0.751301	0.111111	21.507	0
0.795495	0.111111	21.8703	0
0.839689	0.111111	22.2443	0
0.883883	0.111111	22.6385	0
0.928078	0.111111	23.0629	0
0.972272	0.111111	23.5028	0
1.01647	0.111111	23.9403	0
1.06066	0.111111	24.3842	0
1.10485	0.111111	24.8397	0
1.14905	0.111111	25.3134	0
1.19324	0.111111	25.7992	0
1.23744	0.111111	26.2886	0
1.28163	0.111111	26.7741	0
1.32583	0.111111	27.2645	0
1.37002	0.111111	27.749	0
1.41421	0.111111	28.2328	0
1.45841	0.111111	28.7102	0
1.5026	0.111111	29.1862	0
1.5468	0.111111	29.6611	0
1.59099	0.111111	30.1348	0
1.63518	0.111111	30.6055	0
1.67938	0.111111	31.0701	0
1.72357	0.111111	31.5303	0
1.76777	0.111111	31.9827	0
1.81196	0.111111	32.425	0
1.85616	0.111111	32.8545	0
1.90035	0.111111	33.2716	0
1.94454	0.111111	33.6765	0
1.98874	0.111111	34.0689	0
2.03293	0.111111	34.4469	0
2.07713	0.111111	34.8097	0
2.12132	0.111111	35.1562	0
2.16551	0.111111	35.4865	0
2.20971	0.111111	35.8	0
2.2539	0.111111	36.0967	0
2.2981	0.111111	36.3762	0
2.34229	0.111111	36.6387	0
2.38649	0.111111	36.884	0
2.43068	0.111111	37.1123	0
2.47487	0.111111	37.3238	0
2.51907	0.111111	37.5188	0
2.56326	0.111111	37.6979	0
2.60746	0.111111	37.861	0
2.65165	0.111111	38.0091	0
2.69584	0.111111	38.1418	0
2.74004	0.111111	38.2604	0
2.78423	0.111111	38.3642	0
2.82843	0.111111	38.455	0
2.87262	0.111111	38.5316	0
2.91682	0.111111	38.596	0
2.96101	0.111111	38.6466	0
3.0052	0.111111	38.686	0
3.0494	0.111111	38.7113	0
3.09359	0.111111	38.726	0
3.13779	0.111111	38.7261	0
3.18198	0.111111	38.7158	0
3.22617	0.111111	38.6904	0
3.27037	0.111111	38.655	0
3.31456	0.111111	38.6037	0
3.35876	0.111111	38.5421	0
3.40295	0.111111	38.463	0
3.44715	0.111111	38.3733	0
3.49134	0.111111	38.2647	0
3.53553	0.111111	38.1448	0
3.57973	0.111111	38.0043	0
3.62392	0.111111	37.8518	0
3.66812	0.111111	37.6769	0
3.71231	0.111111	37.4889	0
3.7565	0.111111	37.2761	0
3.8007	0.111111	37.0489	0
3.84489	0.111111	36.7941	0
3.88909	0.111111	36.5235	0
3.93328	0.111111	36.2224	0
3.97748	0.111111	35.9041	0
4.02167	0.111111	35.5525	0
4.06586	0.111111	35.182	0
4.11006	0.111111	34.7752	0
4.15425	0.111111	34.3479	0
4.19845	0.111111	33.8816	0
4.24264	0.111111	33.393	0
4.28683	0.111111	32.8629	0
4.33103	0.111111	32.3087	0
4.37522	0.111111	31.7109	0
4.41942	0.111111	31.0875	0
4.46361	0.111111	30.419	0
4.50781	0.111111	29.7233	0
4.552	0.111111	28.9815	0
4.59619	0.111111	28.2114	0
4.64039	0.111111	27.3948	0
4.68458	0.111111	26.5491	0
4.72878	0.111111	25.6572	0
4.77297	0.111111	24.7358	0
4.81716	0.111111	23.7693	0
4.86136	0.111111	22.7734	0
4.90555	0.111111	21.7344	0
4.94975	0.111111	20.6665	0
4.99394	0.111111	19.5583	0
5.03814	0.111111	18.4223	0
5.08233	0.111111	17.2494	0
5.12652	0.111111	16.0506	0
5.17072	0.111111	14.819	0
5.21491	0.111111	13.5639	0
5.25911	0.111111	12.2809	0
5.3033	0.111111	10.9773	0
5.3475	0.111111	9.651	0
5.39169	0.111111	8.30784	0
5.43588	0.111111	6.94756	0
5.48008	0.111111	5.57464	0
5.52427	0.111111	4.19035	0
5.56847	0.111111	2.79819	0
5.61266	0.111111	1.40043	0

0	0.222222	17.8871	0
0.0441942	0.222222	17.8916	0
0.0883883	0.222222	17.9105	0
0.132583	0.222222	17.9505	0
0.176777	0.222222	18.0319	0
0.220971	0.222222	18.1286	0
0.265165	0.222222	18.2524	0
0.309359	0.222222	18.3848	0
0.353553	0.222222	18.5486	0
0.397748	0.222222	18.7067	0
0.441942	0.222222	18.8725	0
0.486136	0.222222	19.0323	0
0.53033	0.222222	19.2315	0
0.574524	0.222222	19.4506	0
0.618718	0.222222	19.6927	0
0.662913	0.222222	19.9498	0
0.707107	0.222222	20.2481	0
0.751301	0.222222	20.5898	0
0.795495	0.222222	20.9476	0
0.839689	0.222222	21.3159	0
0.883883	0.222222	21.7039	0
0.928078	0.222222	22.1219	0
0.972272	0.222222	22.5551	0
1.01647	0.222222	22.9855	0
1.06066	0.222222	23.4219	0
1.10485	0.222222	23.8695	0
1.14905	0.222222	24.335	0
1.19324	0.222222	24.8122	0
1.23744	0.222222	25.2927	0
1.28163	0.222222	25.7692	0
1.32583	0.222222	26.2502	0
1.37002	0.222222	26.7252	0
1.41421	0.222222	27.1992	0
1.45841	0.222222	27.6668	0
1.5026	0.222222	28.1327	0
1.5468	0.222222	28.5973	0
1.59099	0.222222	29.0605	0
1.63518	0.222222	29.5206	0
1.67938	0.222222	29.9743	0
1.72357	0.222222	30.4236	0
1.76777	0.222222	30.8648	0
1.81196	0.222222	31.296	0
1.85616	0.222222	31.7142	0
1.90035	0.222222	32.1201	0
1.94454	0.222222	32.5137	0
1.98874	0.222222	32.8951	0
2.03293	0.222222	33.262	0
2.07713	0.222222	33.6138	0
2.12132	0.222222	33.9494	0
2.16551	0.222222	34.2692	0
2.20971	0.222222	34.5722	0
2.2539	0.222222	34.8588	0
2.2981	0.222222	35.1284	0
2.34229	0.222222	35.3814	0
2.38649	0.222222	35.6174	0
2.43068	0.222222	35.837	0
2.47487	0.222222	36.0402	0
2.51907	0.222222	36.2275	0
2.56326	0.222222	36.3992	0
2.60746	0.222222	36.5556	0
2.65165	0.222222	36.6974	0
2.69584	0.222222	36.8247	0
2.74004	0.222222	36.9384	0
2.78423	0.222222	37.0382	0
2.82843	0.222222	37.1255	0
2.87262	0.222222	37.1996	0
2.91682	0.222222	37.2622	0
2.96101	0.222222	37.3119	0
3.0052	0.222222	37.3511	0
3.0494	0.222222	37.3774	0
3.09359	0.222222	37.3938	0
3.13779	0.222222	37.3967	0
3.18198	0.222222	37.3901	0
3.22617	0.222222	37.3697	0
3.27037	0.222222	37.34	0
3.31456	0.222222	37.2957	0
3.35876	0.222222	37.2419	0
3.40295	0.222222	37.1721	0
3.44715	0.222222	37.0925	0
3.49134	0.222222	36.9953	0
3.53553	0.222222	36.8877	0
3.57973	0.222222	36.761	0
3.62392	0.222222	36.623	0
3.66812	0.222222	36.4639	0
3.71231	0.222222	36.2927	0
3.7565	0.222222	36.0978	0
3.8007	0.222222	35.8894	0
3.84489	0.222222	35.6546	0
3.88909	0.222222	35.4049	0
3.93328	0.222222	35.1258	0
3.97748	0.222222	34.8303	0
4.02167	0.222222	34.5025	0
