#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
4.90555	0	-1.62737	21.8925	-24.0755	-7.94139
4.94975	0	-4.05491	20.8144	-24.8477	-26.9963
4.99394	0	-1.70451	19.6961	-25.6281	-8.32645
5.03814	0	-3.70217	18.5501	-26.3426	-24.0025
5.08233	0	-1.80226	17.3675	-27.0696	-8.90382
5.12652	0	-3.25182	16.1589	-27.7142	-20.2693
5.17072	0	-1.83504	14.9178	-28.3612	-9.00396
5.21491	0	-2.82715	13.6532	-28.9307	-16.7746
5.25911	0	-1.77493	12.3608	-29.4873	-8.40741
5.3033	0	-2.38323	11.048	-29.964	-13.1672
5.3475	0	-1.65342	9.71262	-30.4178	-7.36669
5.39169	0	-1.97826	8.36044	-30.7994	-9.90735
5.43588	0	-1.38877	6.99126	-31.1341	-5.23777
5.48008	0	-1.59076	5.6095	-31.4008	-6.83018
5.52427	0	-1.11983	4.21644	-31.6206	-3.11792
5.56847	0	-1.19754	2.81556	-31.7723	-3.74963
5.61266	0	-0.718822	1.4091	-31.8552	4.44089e-16

0.0441942	0.111111	2.06804	18.7703	0.248231	9.78486
0.0883883	0.111111	1.73593	18.7896	0.597451	6.01908
0.132583	0.111111	5.435	18.8301	1.42129	31.2631
0.176777	0.111111	1.38379	18.9127	2.07369	-1.73853
0.220971	0.111111	4.53254	19.0108	2.5503	23.3074
0.265165	0.111111	0.621933	19.1364	2.91042	-7.0103
0.309359	0.111111	5.351	19.2703	3.42354	30.2316
0.353553	0.111111	-0.513519	19.4362	3.7466	-15.6114
0.397748	0.111111	3.08781	19.5962	3.71272	14.0783
0.441942	0.111111	-0.907104	19.7641	3.66094	-16.422
0.486136	0.111111	5.49885	19.9263	4.05155	34.099
0.53033	0.111111	1.61639	20.1284	4.86248	2.59974
0.574524	0.111111	3.48059	20.3506	5.30109	17.2497
0.618718	0.111111	1.41018	20.5964	5.70217	0.901093
0.662913	0.111111	4.56286	20.8573	6.28589	25.5147
0.707107	0.111111	4.76577	21.1602	7.42603	26.0821
0.751301	0.111111	2.13787	21.507	8.11327	5.01891
0.795495	0.111111	2.03592	21.8703	8.32428	4.5307
0.839689	0.111111	2.6744	22.2443	8.63938	9.72895
0.883883	0.111111	3.82603	22.6385	9.26555	18.6084
0.928078	0.111111	2.5776	23.0629	9.86639	8.58205
0.972272	0.111111	0.771519	23.5028	9.9391	-5.29152
1.01647	0.111111	2.03224	23.9403	9.93465	5.09003
1.06066	0.111111	1.97777	24.3842	10.154	4.83835
1.10485	0.111111	2.77826	24.8397	10.5084	11.1985
1.14905	0.111111	2.1123	25.3134	10.8874	5.95287
1.19324	0.111111	1.65241	25.7992	11.074	2.49229
1.23744	0.111111	0.633007	26.2886	11.0141	-5.20092
1.28163	0.111111	2.10389	26.7741	11.0466	6.67032
1.32583	0.111111	0.368495	27.2645	11.0445	-6.7671
1.37002	0.111111	1.51692	27.749	10.9527	2.61231
1.41421	0.111111	0.412337	28.2328	10.8815	-5.83293
1.45841	0.111111	1.20662	28.7102	10.7686	0.725507
