#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	0	-0.0102514	0.000142457	1.0139
50.2655	1.5708	-0.0111598	-0.00043394	0.961116
50.2655	3.14159	-0.00780278	-0.000334797	0.957093
50.2655	4.71239	-0.0137442	-0.000151647	0.988966
50.2655	6.28319	-0.0196775	-8.82609e-05	0.995515
50.2655	7.85398	-0.0172628	-0.000144594	0.991624
50.2655	9.42478	-0.00948799	-0.000219669	0.976848
50.2655	10.9956	-6.26831e-06	-0.000228356	-35.4303
50.2655	12.5664	0.0081678	-0.000114779	1.01405
50.2655	14.1372	0.0144414	0.000216103	0.985036
50.2655	15.708	0.0174644	0.000570359	0.967342
50.2655	17.2788	0.0163236	0.000656676	0.959771
50.2655	18.8496	0.0110374	0.000293288	0.973428
50.2655	20.4204	0.00407674	-0.00018044	1.04426
50.2655	21.9911	-0.00198083	-0.000477563	0.758907
50.2655	23.5619	-0.00548871	-0.000433876	0.920951
50.2655	25.1327	-0.00640357	-0.000269549	0.957906
50.2655	26.7035	-0.00567155	-9.82587e-05	0.982675
50.2655	28.2743	-0.0040908	-4.99172e-05	0.987798
50.2655	29.8451	-0.00258372	-0.000102061	0.960498
50.2655	31.4159	-0.00141716	-0.000224048	0.841903
50.2655	32.9867	-0.000924892	-0.000378265	0.591017
50.2655	34.5575	-0.000891968	-0.000545495	0.388437
50.2655	36.1283	-0.000865773	-0.000656998	0.241143
50.2655	37.6991	-0.000431554	-0.000641281	-0.48598
50.2655	39.2699	0.000365218	-0.000409152	2.1203
50.2655	40.8407	0.000855587	-0.000108581	1.12691
50.2655	42.4115	0.000550779	0.00012333	0.776081
50.2655	43.9823	-0.000445247	0.000132964	1.29863
50.2655	45.5531	-0.00144775	3.46769e-05	1.02395
50.2655	47.1239	-0.00171613	-0.000180911	0.894582
50.2655	48.6947	-0.0011805	-0.000421193	0.643207
50.2655	50.2655	-0.000194659	-0.000691815	-2.55399
50.2655	51.8363	0.000573512	-0.000862776	2.50437
50.2655	53.4071	0.000937122	-0.000923458	1.98542
50.2655	54.9779	0.000984587	-0.000828452	1.84142
50.2655	56.5487	0.000971517	-0.000649772	1.66882
50.2655	58.1195	0.000925956	-0.000379768	1.41014
50.2655	59.6903	0.000670746	-0.000114952	1.17138
50.2655	61.2611	0.000196142	0.000133773	0.317982
50.2655	62.8319	-0.000348629	0.00030634	1.8787
50.2655	64.4026	-0.000688724	0.000488979	1.70998
50.2655	65.9734	-0.000674265	0.000679985	2.00848
50.2655	67.5442	-0.000302829	0.000799308	3.63947
50.2655	69.115	0.000236345	0.000590779	-1.49965
50.2655	70.6858	0.000560233	-2.5332e-05	1.04522
50.2655	72.2566	0.000417386	-0.00075841	2.81705
50.2655	73.8274	-0.000140912	-0.00106227	-6.53857
50.2655	75.3982	-0.000698281	-0.000794809	-0.138236
50.2655	76.969	-0.000903515	-0.000211106	0.76635
50.2655	78.5398	-0.000609885	0.000263358	1.43182
50.2655	80.1106	-1.41028e-05	0.00057671	41.8932
50.2655	81.6814	0.000603218	0.000613727	-0.0174204
50.2655	83.2522	0.000946931	0.000426239	0.549873
50.2655	84.823	0.000972165	5.01269e-05	0.948438
50.2655	86.3938	0.000757858	-0.000387083	1.51076
50.2655	87.9646	0.000420769	-0.000752767	2.78903
50.2655	89.5354	6.47812e-06	-0.00101478	157.647
50.2655	91.1062	-0.000378157	-0.0011205	-1.96306
50.2655	92.677	-0.000536377	-0.00111882	-1.08589
50.2655	94.2478	-0.000383241	-0.000627043	-0.63616
50.2655	95.8186	-3.3405e-06	0.000367386	110.979
50.2655	97.3894	0.000336706	0.00130353	-2.87142
50.2655	98.9602	0.00048212	0.00142202	-1.94952
50.2655	100.531	0.000374768	0.000877191	-1.34062
50.2655	102.102	0.000130787	0.000421229	-2.22072
50.2655	103.673	-0.000149766	0.000623111	5.16057
50.2655	105.243	-0.0003465	0.00129029	4.72378
50.2655	106.814	-0.000371776	0.00208072	6.59672
50.2655	108.385	-0.000226433	0.00229504	11.1356
50.2655	109.956	3.44615e-05	0.0018286	-52.0622
50.2655	111.527	0.000271731	0.000815109	-1.99969
50.2655	113.097	0.000454475	-9.3008e-05	1.20465
50.2655	114.668	0.000517227	-0.000738417	2.42765
50.2655	116.239	0.000509822	-0.00124071	3.43362
50.2655	117.81	0.000420705	-0.00185823	5.41695
50.2655	119.381	0.000313192	-0.00264916	9.45856
50.2655	120.951	0.000126983	-0.00333542	27.2668
50.2655	122.522	-0.00015632	-0.00378351	-23.2036
50.2655	124.093	-0.000549367	-0.00381823	-5.95023
50.2655	125.664	-0.000886795	-0.00321857	-2.62943
50.2655	127.235	-0.000983087	-0.00177881	-0.809415
50.2655	128.805	-0.000729193	0.000202488	1.27769
50.2655	130.376	-0.00022008	0.00164191	8.46049
50.2655	131.947	0.000320309	0.00163543	-4.10579
50.2655	133.518	0.000708906	0.000381276	0.462164
50.2655	135.088	0.00083934	-0.00132877	2.58311
50.2655	136.659	0.000706882	-0.00250707	4.54665
50.2655	138.23	0.000341904	-0.00285807	9.35927
50.2655	139.801	-9.47826e-05	-0.00220157	-22.2275
50.2655	141.372	-0.000403143	-0.00102838	-1.55092
50.2655	142.942	-0.000444467	0.000755277	2.69929
50.2655	144.513	-0.000319203	0.00287262	9.99937
50.2655	146.084	-0.000197975	0.00443495	23.4016
50.2655	147.655	-0.000133125	0.00387179	30.0838
50.2655	149.226	2.02744e-05	0.00105071	-50.8247
50.2655	150.796	0.000310342	-0.00241511	8.78207
50.2655	152.367	0.000599189	-0.00443772	8.40622
50.2655	153.938	0.000771415	-0.005034	7.52567
50.2655	155.509	0.000972431	-0.00608401	7.25649
50.2655	157.08	0.00139023	-0.00824606	6.93142
50.2655	158.65	0.00199035	-0.00973181	5.8895
50.2655	160.221	0.00254123	-0.00881281	4.46793
50.2655	161.792	0.00290749	-0.00655137	3.25327
50.2655	163.363	0.00304426	-0.00499161	2.63968
50.2655	164.934	0.00293998	-0.00438763	2.4924
50.2655	166.504	0.00250558	-0.00319472	2.27504
50.2655	168.075	0.00173316	-0.000266905	1.154
50.2655	169.646	0.000726127	0.00346665	-3.77416
50.2655	171.217	-0.000297312	0.00679381	23.8508
50.2655	172.788	-0.00117508	0.00931398	8.92629
50.2655	174.358	-0.00181997	0.0107777	6.92195
50.2655	175.929	-0.00214701	0.00903196	5.20675
50.2655	177.5	-0.00206267	0.00332416	2.61158
50.2655	179.071	-0.00158849	-0.00335777	-1.11381
50.2655	180.642	-0.000953112	-0.00682521	-6.16098
50.2655	182.212	-0.000399412	-0.00657296	-15.4566
50.2655	183.783	-7.66778e-05	-0.00463597	-59.4604
50.2655	185.354	-1.37065e-05	-0.00400504	-291.2
50.2655	186.925	-0.000271388	-0.0072745	-25.8048
50.2655	188.496	-0.000873112	-0.0157081	-16.9909
50.2655	190.066	-0.00170239	-0.0254496	-13.9493
50.2655	191.637	-0.00242999	-0.0309197	-11.7242
50.2655	193.208	-0.00264312	-0.0303155	-10.4696
50.2655	194.779	-0.00205348	-0.0273796	-12.3333
50.2655	196.35	-0.000877309	-0.0272078	-30.0128
50.2655	197.92	1.01065e-05	-0.0309362	3062.02
50.2655	199.491	4.81108e-08	0.0232466	-483189

51.0509	0	-0.00393966	0.000165122	1.04191
51.0509	1.5708	-0.0108583	-1.71826e-05	0.998418
51.0509	3.14159	-0.00574926	-0.000407089	0.929193
51.0509	4.71239	-0.00715966	-0.000270945	0.962157
51.0509	6.28319	-0.0117889	-0.000213077	0.981926
51.0509	7.85398	-0.0105924	-0.000266981	0.974795
51.0509	9.42478	-0.00207788	-0.000298496	0.856346
51.0509	10.9956	0.00742276	-0.000267564	1.03605
51.0509	12.5664	0.0149183	-0.00014715	1.00986
51.0509	14.1372	0.0185793	9.46479e-05	0.994906
51.0509	15.708	0.0182947	0.00040619	0.977797
51.0509	17.2788	0.0137569	0.000507475	0.963111
51.0509	18.8496	0.00669356	0.000333886	0.950118
51.0509	20.4204	-0.00042156	-1.42923e-06	0.99661
51.0509	21.9911	-0.00516918	-0.000217689	0.957887
51.0509	23.5619	-0.0071738	-0.000320695	0.955296
51.0509	25.1327	-0.00705721	-0.000263599	0.962648
51.0509	26.7035	-0.00580746	-0.000163523	0.971843
51.0509	28.2743	-0.00436213	-3.70805e-05	0.991499
51.0509	29.8451	-0.0030616	-1.62686e-05	0.994686
51.0509	31.4159	-0.00232682	-0.000111317	0.952159
51.0509	32.9867	-0.00206964	-0.000301717	0.854217
51.0509	34.5575	-0.00220808	-0.000510911	0.768618
51.0509	36.1283	-0.00214005	-0.000645799	0.698232
51.0509	37.6991	-0.00146545	-0.000610296	0.583544
51.0509	39.2699	-0.000456277	-0.000432695	0.0516846
51.0509	40.8407	0.000215022	-0.000205412	1.95531
51.0509	42.4115	-2.73625e-05	-0.000131679	-3.81241
51.0509	43.9823	-0.000933451	-0.000160234	0.828342
51.0509	45.5531	-0.00176349	-0.000251396	0.857444
51.0509	47.1239	-0.00189559	-0.000297707	0.842948
51.0509	48.6947	-0.001276	-0.000407425	0.680701
51.0509	50.2655	-0.000469856	-0.000512381	-0.0905058
51.0509	51.8363	0.000155349	-0.000614889	4.95812
51.0509	53.4071	0.000420941	-0.000612889	2.456
51.0509	54.9779	0.000568618	-0.000571155	2.00446
51.0509	56.5487	0.000644609	-0.000495204	1.76822
51.0509	58.1195	0.000582134	-0.000384841	1.66109
51.0509	59.6903	0.000255467	-0.000114429	1.44792
51.0509	61.2611	-0.000308172	0.000228351	1.74099
51.0509	62.8319	-0.000852658	0.00051042	1.59862
51.0509	64.4026	-0.00115922	0.000600773	1.51826
51.0509	65.9734	-0.00102837	0.00060847	1.59168
51.0509	67.5442	-0.00047998	0.000564354	2.17579
51.0509	69.115	0.000194844	0.000353789	-0.815751
51.0509	70.6858	0.000564861	-0.000222096	1.39319
51.0509	72.2566	0.000384959	-0.00101418	3.63451
51.0509	73.8274	-0.00013492	-0.00158667	-10.7601
51.0509	75.3982	-0.000589307	-0.00152556	-1.58874
51.0509	76.969	-0.000615895	-0.000863702	-0.402353
51.0509	78.5398	-0.000201647	0.000139031	1.68948
51.0509	80.1106	0.000430969	0.000996109	-1.31132
51.0509	81.6814	0.000907733	0.00137765	-0.51768
51.0509	83.2522	0.00105448	0.00103596	0.017557
51.0509	84.823	0.000916304	0.000296677	0.676224
51.0509	86.3938	0.000669487	-0.000435971	1.6512
51.0509	87.9646	0.000345545	-0.000849427	3.45822
51.0509	89.5354	-5.73779e-05	-0.000863504	-14.0494
51.0509	91.1062	-0.000398309	-0.000700061	-0.757582
51.0509	92.677	-0.000435142	-0.000484	-0.11228
51.0509	94.2478	-7.18243e-05	-0.000224521	-2.12597
51.0509	95.8186	0.000449798	0.000322439	0.283147
51.0509	97.3894	0.000813778	0.000799737	0.0172539
51.0509	98.9602	0.000810527	0.00080699	0.00436374
51.0509	100.531	0.000545344	0.000369069	0.323237
51.0509	102.102	0.000187606	0.000119499	0.36303
51.0509	103.673	-7.03381e-05	0.000505981	8.19355
51.0509	105.243	-0.000174587	0.0015139	9.67137
51.0509	106.814	-0.000108083	0.00251826	24.2992
51.0509	108.385	7.81372e-05	0.00294783	-36.7263
51.0509	109.956	0.000286575	0.00223638	-6.80381
51.0509	111.527	0.000464497	0.000738119	-0.589073
51.0509	113.097	0.000534153	-0.00105958	2.98366
51.0509	114.668	0.000512562	-0.00248231	5.84294
51.0509	116.239	0.000378581	-0.00349159	10.2228
51.0509	117.81	0.000227363	-0.00422754	19.5938
51.0509	119.381	5.49051e-05	-0.00476524	87.7904
51.0509	120.951	-0.000118155	-0.00493436	-40.7618
51.0509	122.522	-0.000373056	-0.00450482	-11.0755
51.0509	124.093	-0.000664544	-0.00370086	-4.56902
51.0509	125.664	-0.000896137	-0.00264951	-1.95659
51.0509	127.235	-0.000872351	-0.00123294	-0.413353
51.0509	128.805	-0.000527817	0.000509689	1.96566
51.0509	130.376	5.11472e-05	0.00181806	-34.5457
51.0509	131.947	0.000655238	0.00173459	-1.64727
51.0509	133.518	0.00108215	0.000408665	0.622359
51.0509	135.088	0.00122166	-0.000994239	1.81384
51.0509	136.659	0.00104143	-0.00181829	2.74596
51.0509	138.23	0.000652125	-0.00195342	3.99547
51.0509	139.801	0.000245416	-0.00190279	8.7533
51.0509	141.372	3.64063e-05	-0.00149053	41.9416
51.0509	142.942	3.97105e-05	-0.000414774	11.4449
51.0509	144.513	9.42831e-05	0.00159877	-15.9571
51.0509	146.084	2.29369e-05	0.00316062	-136.796
51.0509	147.655	-9.33584e-05	0.00276367	30.6027
51.0509	149.226	-6.71958e-05	0.000183853	3.73608
51.0509	150.796	0.000141556	-0.00275398	20.455
51.0509	152.367	0.000344948	-0.00432931	13.5506
51.0509	153.938	0.000468393	-0.00464783	10.9229
51.0509	155.509	0.000662566	-0.00547521	9.26365
51.0509	157.08	0.00107226	-0.00743218	7.93133
51.0509	158.65	0.0015934	-0.00897002	6.62947
51.0509	160.221	0.00203627	-0.00880513	5.32415
51.0509	161.792	0.00230535	-0.00755981	4.27924
51.0509	163.363	0.00241135	-0.00651183	3.70049
51.0509	164.934	0.00227239	-0.0052151	3.29498
51.0509	166.504	0.0017969	-0.00211141	2.17503
51.0509	168.075	0.000972543	0.00292111	-2.00358
51.0509	169.646	8.1767e-06	0.00798267	-975.27
51.0509	171.217	-0.000854066	0.0111699	14.0785
51.0509	172.788	-0.00146325	0.0130333	9.90704
51.0509	174.358	-0.00179766	0.0139238	8.74553
51.0509	175.929	-0.00181153	0.0120939	7.67605
51.0509	177.5	-0.00144466	0.00579496	5.0113
51.0509	179.071	-0.00078137	-0.00249419	-2.19208
51.0509	180.642	-7.75991e-05	-0.00864418	-110.395
51.0509	182.212	0.000385915	-0.0105818	28.42
