#b 	 momk 	 DP 	 WW 
0	0	12.9542	0
0.0441942	0	12.9915	0
0.0883883	0	13.0531	0
0.132583	0	13.1272	0
0.176777	0	13.2152	0
0.220971	0	13.3136	0
0.265165	0	13.4101	0
0.309359	0	13.5536	0
0.353553	0	13.6571	0
0.397748	0	13.7841	0
0.441942	0	13.934	0
0.486136	0	14.1295	0
0.53033	0	14.3296	0
0.574524	0	14.5659	0
0.618718	0	14.807	0
0.662913	0	15.116	0
0.707107	0	15.4442	0
0.751301	0	15.822	0
0.795495	0	16.2042	0
0.839689	0	16.6184	0
0.883883	0	17.0476	0
0.928078	0	17.5254	0
0.972272	0	17.9999	0
1.01647	0	18.5353	0
1.06066	0	19.0531	0
1.10485	0	19.6198	0
1.14905	0	20.1672	0
1.19324	0	20.7441	0
1.23744	0	21.3072	0
1.28163	0	21.8777	0
1.32583	0	22.4436	0
1.37002	0	23.0247	0
1.41421	0	23.6105	0
1.45841	0	24.2372	0
1.5026	0	24.8587	0
1.5468	0	25.4828	0
1.59099	0	26.1023	0
1.63518	0	26.7326	0
1.67938	0	27.3564	0
1.72357	0	27.9739	0
1.76777	0	28.5713	0
1.81196	0	29.168	0
1.85616	0	29.7514	0
1.90035	0	30.3361	0
1.94454	0	30.9053	0
1.98874	0	31.4655	0
2.03293	0	32.0066	0
2.07713	0	32.5333	0
2.12132	0	33.0379	0
2.16551	0	33.5224	0
2.20971	0	33.9819	0
2.2539	0	34.4174	0
2.2981	0	34.8271	0
2.34229	0	35.2132	0
2.38649	0	35.5778	0
2.43068	0	35.9215	0
2.47487	0	36.2453	0
2.51907	0	36.549	0
2.56326	0	36.8326	0
2.60746	0	37.0949	0
2.65165	0	37.3376	0
2.69584	0	37.5596	0
2.74004	0	37.7631	0
2.78423	0	37.9464	0
2.82843	0	38.1121	0
2.87262	0	38.2583	0
2.91682	0	38.3884	0
2.96101	0	38.4997	0
3.0052	0	38.5957	0
3.0494	0	38.6731	0
3.09359	0	38.7361	0
3.13779	0	38.7804	0
3.18198	0	38.811	0
3.22617	0	38.8223	0
3.27037	0	38.8204	0
3.31456	0	38.7988	0
3.35876	0	38.7643	0
3.40295	0	38.7092	0
3.44715	0	38.641	0
3.49134	0	38.5507	0
3.53553	0	38.4467	0
3.57973	0	38.3192	0
3.62392	0	38.1778	0
3.66812	0	38.0111	0
3.71231	0	37.8296	0
3.7565	0	37.6209	0
3.8007	0	37.3964	0
3.84489	0	37.1425	0
3.88909	0	36.8716	0
3.93328	0	36.5688	0
3.97748	0	36.2477	0
4.02167	0	35.8919	0
4.06586	0	35.5165	0
4.11006	0	35.1037	0
4.15425	0	34.6697	0
4.19845	0	34.1959	0
4.24264	0	33.6993	0
4.28683	0	33.1608	0
4.33103	0	32.5978	0
4.37522	0	31.9909	0
4.41942	0	31.358	0
4.46361	0	30.6796	0
4.50781	0	29.974	0
4.552	0	29.222	0
4.59619	0	28.4417	0
4.64039	0	27.6147	0
4.68458	0	26.7587	0
4.72878	0	25.8564	0
4.77297	0	24.9246	0
4.81716	0	23.9478	0
