#b 	 momk 	 DP 	 WW 
4.97184	2.5	3527.96	23.5725
5.01604	2.5	3352.06	19.1788
5.06023	2.5	3464.73	34.3793
5.10443	2.5	3678.54	34.6122
5.14862	2.5	3781.64	9.02596
5.19282	2.5	3821.23	-0.219381
5.23701	2.5	3931.05	0.000539272
5.2812	2.5	3809.84	0.00986672
5.3254	2.5	3863.69	0.00192992
5.36959	2.5	3565.63	0.000243467
5.41379	2.5	3356.73	2.42052e-05
5.45798	2.5	2759.23	4.13996e-06
5.50217	2.5	2321.72	9.76353e-07
5.54637	2.5	1616.32	2.58127e-07
5.59056	2.5	1032.26	3.76169e-08
5.63476	2.5	323.275	3.1397e-09

