#b 	 momk 	 DP 	 WW 
1.45841	1	1.77066	0.466339
1.5026	1	1.49566	0.420959
1.5468	1	1.26146	0.374507
1.59099	1	1.09176	0.311871
1.63518	1	0.935625	0.258346
1.67938	1	0.808411	0.208865
1.72357	1	0.688535	0.167054
1.76777	1	0.58582	0.132857
1.81196	1	0.491604	0.10369
1.85616	1	0.410395	0.081871
1.90035	1	0.338704	0.0629065
1.94454	1	0.277733	0.0495486
1.98874	1	0.225709	0.0377602
2.03293	1	0.182184	0.0297304
2.07713	1	0.146063	0.0225128
2.12132	1	0.116346	0.0177744
2.16551	1	0.0921699	0.0134156
2.20971	1	0.0726061	0.010587
2.2539	1	0.0569518	0.00800438
2.2981	1	0.0444483	0.00632555
2.34229	1	0.0345737	0.00480081
2.38649	1	0.0267788	0.00380001
2.43068	1	0.0206897	0.00289719
2.47487	1	0.0159304	0.00229637
2.51907	1	0.0122447	0.00175591
2.56326	1	0.00938656	0.00139004
2.60746	1	0.00718709	0.00106573
2.65165	1	0.00549137	0.000841583
2.69584	1	0.0041928	0.000646443
2.74004	1	0.00319745	0.00050958
2.78423	1	0.00243757	0.00039147
2.82843	1	0.00185711	0.000307728
2.87262	1	0.00141215	0.000235919
2.91682	1	0.00107539	0.000184519
2.96101	1	0.000818104	0.000142415
3.0052	1	0.000621594	0.000110507
3.0494	1	0.000472338	8.52538e-05
3.09359	1	0.000358742	6.505e-05
3.13779	1	0.000272762	5.07241e-05
3.18198	1	0.00020726	3.93227e-05
3.22617	1	0.00015724	3.04157e-05
3.27037	1	0.000119062	2.31872e-05
3.31456	1	9.05805e-05	1.80148e-05
3.35876	1	6.83718e-05	1.37571e-05
3.40295	1	5.21601e-05	1.07604e-05
3.44715	1	3.92332e-05	8.2564e-06
3.49134	1	3.00242e-05	6.42804e-06
3.53553	1	2.25151e-05	4.92154e-06
3.57973	1	1.72722e-05	3.81739e-06
3.62392	1	1.29287e-05	2.9245e-06
3.66812	1	9.92371e-06	2.26201e-06
3.71231	1	7.41223e-06	1.72866e-06
3.7565	1	5.69318e-06	1.33819e-06
3.8007	1	4.24804e-06	1.02164e-06
3.84489	1	3.26201e-06	7.91228e-07
3.88909	1	2.43653e-06	6.04e-07
3.93328	1	1.86675e-06	4.67971e-07
3.97748	1	1.39916e-06	3.57909e-07
4.02167	1	1.06751e-06	2.76441e-07
