#kx 	 Dy 	 DP 	 WW 	 (DP-WW)/DP 
50.2655	0	0.0603417	0.0245812	0.592634
50.2655	1.5708	0.0155577	-0.0299424	2.9246
50.2655	3.14159	0.134413	-0.00155413	1.01156
50.2655	4.71239	0.431816	-0.0201017	1.04655
50.2655	6.28319	0.507911	-0.0500357	1.09851
50.2655	7.85398	0.2826	-0.0412547	1.14598
50.2655	9.42478	0.0213629	-0.0406164	2.90126
50.2655	10.9956	-0.144179	-0.0577987	0.599119
50.2655	12.5664	-0.164874	-0.0118405	0.928185
50.2655	14.1372	-0.133839	0.026669	1.19926
50.2655	15.708	-0.0611737	0.0170138	1.27812
50.2655	17.2788	0.0691321	-0.00368078	1.05324
50.2655	18.8496	0.129651	-0.0105127	1.08108
50.2655	20.4204	0.113632	0.0232652	0.795258
50.2655	21.9911	0.0553561	0.0233724	0.577781
50.2655	23.5619	-0.0466333	-0.00997303	0.786139
50.2655	25.1327	-0.0946086	-0.0406198	0.570654
50.2655	26.7035	0.0359575	-0.0222934	1.61999
50.2655	28.2743	0.196696	0.0186352	0.905259
50.2655	29.8451	0.0661955	0.029668	0.551812
50.2655	31.4159	-0.031076	0.0341291	2.09824
50.2655	32.9867	0.0207238	0.0507444	-1.44861
50.2655	34.5575	0.102205	0.0332557	0.674619
50.2655	36.1283	0.08706	0.0685571	0.212531
50.2655	37.6991	0.0122963	0.0557463	-3.53358
50.2655	39.2699	0.0430649	-4.12827e-05	1.00096
50.2655	40.8407	0.0869093	0.00488432	0.9438
50.2655	42.4115	0.0969827	0.0285408	0.705712
50.2655	43.9823	0.0717174	-0.0234914	1.32756
50.2655	45.5531	0.065623	-0.028721	1.43767
50.2655	47.1239	0.0759467	0.00361315	0.952425
50.2655	48.6947	0.0249932	-0.00425978	1.17044
50.2655	50.2655	0.0134231	-0.0148202	2.10408
50.2655	51.8363	0.044475	0.00135653	0.969499
50.2655	53.4071	-0.00591685	0.00508864	1.86002
50.2655	54.9779	-0.00209567	-0.00486055	-1.31933
50.2655	56.5487	-0.00133824	-0.0175258	-12.0961
50.2655	58.1195	-0.0350101	-0.049441	-0.412194
50.2655	59.6903	-0.053179	-0.0191875	0.63919
50.2655	61.2611	-0.023643	0.000262491	1.0111
50.2655	62.8319	0.0281575	0.014245	0.494097
50.2655	64.4026	-0.00989503	0.00696167	1.70355
50.2655	65.9734	-0.0739636	-0.0242716	0.671844
50.2655	67.5442	-0.07489	-0.0417143	0.442992
50.2655	69.115	0.00974505	-0.0120013	2.23153
50.2655	70.6858	0.0585306	0.0246293	0.579207
50.2655	72.2566	-0.00940526	0.0187949	2.99834
50.2655	73.8274	-0.0459641	-0.0412042	0.103559
50.2655	75.3982	-0.0095322	-0.0356003	-2.73474
50.2655	76.969	0.0323398	-0.0218166	1.67461
50.2655	78.5398	0.00547057	-0.0312015	6.70351
50.2655	80.1106	0.00340722	-0.0318235	10.34
50.2655	81.6814	-0.0183993	-0.0317102	-0.72345
50.2655	83.2522	-0.0833147	-0.0849874	-0.0200771
50.2655	84.823	-0.0842973	-0.0929318	-0.102429
50.2655	86.3938	-0.0347531	-0.0656315	-0.88851
50.2655	87.9646	0.0101495	-0.0665635	7.55829
50.2655	89.5354	0.0434883	-0.0553733	2.27329
50.2655	91.1062	0.044581	0.00404866	0.909184
50.2655	92.677	0.0212904	0.0771213	-2.62234
50.2655	94.2478	-0.0225	0.0768054	4.41358
50.2655	95.8186	-0.0462504	0.0627909	2.35763
50.2655	97.3894	-0.00815264	0.0913871	12.2095
50.2655	98.9602	0.0412976	0.103094	-1.49636
50.2655	100.531	0.01765	0.0547006	-2.09919
50.2655	102.102	-0.00413271	-0.0558136	-12.5053
50.2655	103.673	-0.0110794	-0.030033	-1.71071
50.2655	105.243	-0.0121419	0.0291973	3.40468
50.2655	106.814	-0.0160793	-0.00370616	0.769507
50.2655	108.385	-0.0117359	-0.0102361	0.127796
50.2655	109.956	-0.0413704	-0.056672	-0.369868
50.2655	111.527	-0.0470494	-0.0845887	-0.797871
50.2655	113.097	0.0127872	-0.0525662	5.11084
50.2655	114.668	0.0121711	-0.0656474	6.39372
