#b 	 momk 	 DP 	 WW 	 DP error 	 WW error 
0	0	0.08234565264	0.375428116	0.03284285684	0.03604842428
0.04419417382	0	0.0781453194	0.3740240635	0.03249198479	0.03491581999
0.08838834765	0	0.07644154394	0.397714331	0.03216924987	0.03449665741
0.1325825215	0	0.08962528317	0.4110718478	0.03185920224	0.03407019
0.1767766953	0	0.08882881689	0.3957267849	0.03158074729	0.0345161965
0.2209708691	0	0.0947383898	0.3913071483	0.0314304828	0.03466894265
0.2651650429	0	0.09278348522	0.3757414384	0.03093607826	0.03455159574
0.3093592168	0	0.1068341389	0.3638323701	0.03048877564	0.03333198004
0.3535533906	0	0.1282405678	0.3720377444	0.02989237168	0.03287478155
0.3977475644	0	0.1363356309	0.3806705458	0.02822301867	0.03203226769
0.4419417382	0	0.1291722802	0.3633590017	0.02758461928	0.0313768663
0.4861359121	0	0.1402499389	0.3751982402	0.02685630877	0.0301311216
0.5303300859	0	0.130641567	0.3608376275	0.02657747448	0.02976088542
0.5745242597	0	0.1254936131	0.3263916385	0.02577712766	0.02879511517
0.6187184335	0	0.1253884355	0.3099407721	0.02522478232	0.02838179121
0.6629126074	0	0.1227756429	0.2914389382	0.02400373449	0.02678413069
0.7071067812	0	0.1167660906	0.2863973069	0.02342735783	0.02546594487
0.751300955	0	0.1210458716	0.2934290531	0.02302378274	0.02504939145
0.7954951288	0	0.1633762039	0.3128426117	0.02167837619	0.0238894589
0.8396893027	0	0.2123081969	0.3449511742	0.02057200253	0.02292967028
0.8838834765	0	0.205973643	0.3251833083	0.0196965742	0.02193269719
0.9280776503	0	0.1951274929	0.2916212148	0.01887816205	0.02071244715
0.9722718241	0	0.1881029093	0.2792429663	0.01781135709	0.01951331795
1.016465998	0	0.1733424814	0.2643911748	0.01698621518	0.01876989241
1.060660172	0	0.172578347	0.2561218024	0.01677347041	0.01850032121
1.104854346	0	0.1660082903	0.2469858775	0.01648537077	0.01838498545
1.149048519	0	0.1522918843	0.2280292758	0.0157802855	0.01749095025
1.193242693	0	0.1489372107	0.222760348	0.01499830521	0.01647109936
1.237436867	0	0.1513744827	0.2165245092	0.01416869032	0.01587092877
1.281631041	0	0.1556084699	0.2220935544	0.01303936002	0.01453336834
1.325825215	0	0.1491865429	0.2091639605	0.01231332455	0.0134291579
1.370019389	0	0.1466166996	0.19537231	0.01168825145	0.01263758007
1.414213562	0	0.1535899917	0.1933742128	0.01119010328	0.01173569035
1.458407736	0	0.1515456091	0.1844914066	0.01095123587	0.01095857145
1.50260191	0	0.1462040174	0.1774347123	0.01014361664	0.01027031475
1.546796084	0	0.134360498	0.1607036364	0.009170354599	0.009542838465
1.590990258	0	0.1293157338	0.1537867681	0.00827084024	0.008899310964
1.635184431	0	0.1177932044	0.1412720563	0.007864724939	0.008711620431
1.679378605	0	0.1113935848	0.1331902183	0.007704230979	0.008413364311
1.723572779	0	0.1045440895	0.1243779226	0.006912089466	0.00762026797
1.767766953	0	0.1024975383	0.1222695986	0.006780124873	0.007340508298
1.811961127	0	0.09930703249	0.1187195676	0.006327891809	0.006899776703
