#b 	 momk 	 DP 	 WW 	 DP error 	 WW error 
0	0	0.1047773547	0.2998180607	0.03168130204	0.0349222719
0.04419417382	0	0.1061197439	0.3049056441	0.03090268329	0.03412142632
0.08838834765	0	0.08730998948	0.3172577707	0.03013048532	0.03359541553
0.1325825215	0	0.0839012258	0.3206495285	0.03011699569	0.03332330099
0.1767766953	0	0.06010916649	0.290361829	0.02968579735	0.03303768353
0.2209708691	0	0.06854785583	0.2785055683	0.02933522657	0.03265047313
0.2651650429	0	0.07223595577	0.268970124	0.02941059647	0.03275845038
0.3093592168	0	0.08847868729	0.262888171	0.02902003067	0.03154577772
0.3535533906	0	0.1096841314	0.2816941164	0.0282899545	0.03091148685
0.3977475644	0	0.1137129228	0.2878960849	0.02685894175	0.03018514036
0.4419417382	0	0.09692489089	0.2777342724	0.02653572254	0.02978131964
0.4861359121	0	0.09951442199	0.2780168189	0.0258572487	0.02865621134
0.5303300859	0	0.09447891296	0.2702210501	0.0253354747	0.02790266177
0.5745242597	0	0.08824199622	0.2358054319	0.02462352593	0.02720278401
0.6187184335	0	0.08649343704	0.2240278613	0.02394747073	0.02664945713
0.6629126074	0	0.09176187958	0.2212108244	0.02307032029	0.02535508133
0.7071067812	0	0.09644571525	0.2221886075	0.02262841994	0.02416931772
0.751300955	0	0.1003049708	0.2275364256	0.02199509561	0.02371785855
0.7954951288	0	0.1344065338	0.2446811257	0.02086935483	0.02246130788
0.8396893027	0	0.1685394852	0.2685324831	0.01994058322	0.02185767247
0.8838834765	0	0.1633133312	0.2557869061	0.01898373892	0.02125828141
0.9280776503	0	0.1483070408	0.2231427553	0.0179941243	0.02028751208
0.9722718241	0	0.1489509625	0.222821714	0.01711918175	0.01899650093
1.016465998	0	0.1457369693	0.2173036691	0.01612022381	0.01779087761
1.060660172	0	0.1487806287	0.2109110706	0.01570762975	0.01712297254
1.104854346	0	0.1444643637	0.2028338295	0.01538170274	0.01686114626
1.149048519	0	0.1311951682	0.1896756469	0.01455957912	0.01624757849
1.193242693	0	0.1263449832	0.1841940109	0.01386276009	0.0152889598
1.237436867	0	0.1250681599	0.1799600029	0.01307616474	0.01449793571
1.281631041	0	0.1283808407	0.1819928668	0.01217570019	0.013223853
1.325825215	0	0.1222527887	0.1730183704	0.01145634504	0.01213934439
1.370019389	0	0.1211320389	0.1622950954	0.01110492772	0.01169621415
1.414213562	0	0.132115784	0.1655955913	0.01060397245	0.010962684
1.458407736	0	0.1320845541	0.1611443088	0.01010906493	0.01033320889
1.50260191	0	0.1295911369	0.156127398	0.009163505662	0.00947746166
1.546796084	0	0.1205196947	0.1446643147	0.008569808883	0.008950152968
1.590990258	0	0.1162559068	0.137112057	0.007703911237	0.008211173061
1.635184431	0	0.1076743484	0.1261929648	0.00747113118	0.008185873826
1.679378605	0	0.1003895992	0.1191105108	0.007272640822	0.007805735405
1.723572779	0	0.09490024747	0.1127537379	0.006644180533	0.006926421033
1.767766953	0	0.09184276429	0.1094136527	0.006554544675	0.006629294861
1.811961127	0	0.0867644073	0.1034064674	0.006270379154	0.006344664505
1.856155301	0	0.0779212243	0.09335114227	0.005765291961	0.005723883626
1.900349474	0	0.07102701019	0.08373935988	0.005310589661	0.005475327909
1.944543648	0	0.06474744518	0.07593730794	0.005020774064	0.005234954016
1.988737822	0	0.06085648754	0.0708571177	0.004798990054	0.004940864379
2.032931996	0	0.05959318274	0.06897757475	0.004420364303	0.00434748973
2.07712617	0	0.05758864087	0.06639068801	0.0039557521	0.003798726998
2.121320344	0	0.05325348045	0.06092557102	0.003528268135	0.00343999533
2.165514517	0	0.04962076178	0.05621080768	0.003239485618	0.003314184115
2.209708691	0	0.04652669707	0.05207784318	0.00274599876	0.002899099439
2.253902865	0	0.04389482894	0.04842943633	0.002351436275	0.002541891385
2.298097039	0	0.03996775221	0.04366921062	0.002304144932	0.002450919796
2.342291213	0	0.03655531398	0.03985516409	0.002283674744	0.002423156374
2.386485387	0	0.03409083876	0.03712890809	0.001965797596	0.002046063669
2.43067956	0	0.03044948359	0.03294125932	0.001789195145	0.001850712676
2.474873734	0	0.02722706445	0.02966892731	0.001668276474	0.001726557888
2.519067908	0	0.02453201084	0.02676981684	0.001490840342	0.001593559606
2.563262082	0	0.02204928611	0.02409106298	0.001398602274	0.001556149934
2.607456256	0	0.02007590047	0.0217736129	0.00137994644	0.001470895528
2.651650429	0	0.01857482674	0.02015463161	0.001174286364	0.001303082144
2.695844603	0	0.01665860818	0.01814269015	0.001004374205	0.001139172391
2.740038777	0	0.01519890531	0.0166034416	0.0008788000202	0.001028556132
2.784232951	0	0.01333371225	0.0144601756	0.0007467836013	0.0008488960219
2.828427125	0	0.01180778117	0.01267758896	0.0007110287247	0.0008030579143
2.872621299	0	0.01030674499	0.01108569929	0.0007135161485	0.0007974306499
2.916815472	0	0.009498176685	0.0102572766	0.000524896695	0.0006077473891
2.961009646	0	0.008765859051	0.009465254818	0.0005361777074	0.0006537988688
3.00520382	0	0.007645426968	0.008258903674	0.0004440829743	0.0005416475231
3.049397994	0	0.006536423547	0.007045630093	0.0004012495022	0.0004550590629
3.093592168	0	0.005714166245	0.00608216017	0.0004308264462	0.000475873141
3.137786342	0	0.004999522298	0.005310796134	0.0003932075693	0.0004279419725
3.181980515	0	0.00442460822	0.004680537973	0.0003295892078	0.0003645912563
3.226174689	0	0.003912107977	0.004125554666	0.0002892356376	0.0003214190149
3.270368863	0	0.003373792644	0.00354963327	0.0002669235746	0.000291052604
3.314563037	0	0.00293293835	0.003073249747	0.0002319751619	0.0002531692344
3.358757211	0	0.00256780681	0.002681193269	0.0002009280618	0.0002197638045
3.402951384	0	0.00225404822	0.002353765721	0.0001740574535	0.0001907719851
3.447145558	0	0.001970662982	0.002056418448	0.0001552844644	0.0001721058047
3.491339732	0	0.00172005524	0.001789908299	0.0001420629158	0.0001568887374
3.535533906	0	0.001501563412	0.001561117276	0.0001323145737	0.0001461709207
3.57972808	0	0.001302643238	0.001351345345	0.0001207227261	0.0001323613177
3.623922254	0	0.001122958238	0.001161928216	0.0001059567585	0.0001156163657
3.668116427	0	0.0009662127189	0.001000995829	9.264409101e-05	0.0001026993513
3.712310601	0	0.0008331738724	0.0008620452897	8.148765478e-05	9.026912546e-05
3.756504775	0	0.0007175944432	0.0007400480058	7.188494453e-05	7.895779622e-05
3.800698949	0	0.0006202490317	0.0006374649478	6.316809376e-05	6.837947202e-05
3.844893123	0	0.0005341714992	0.0005470430594	5.675919363e-05	6.082287578e-05
3.889087297	0	0.0004598244235	0.00046852581	4.865897969e-05	5.120977044e-05
3.93328147	0	0.0003942012441	0.0004011231034	4.251147288e-05	4.461713082e-05
3.977475644	0	0.0003373785144	0.000343359357	3.586498335e-05	3.788854604e-05
4.021669818	0	0.0002878598029	0.0002925033468	3.197486967e-05	3.367454883e-05
4.065863992	0	0.0002471910032	0.0002518506127	2.722272464e-05	2.932395197e-05
4.110058166	0	0.0002096541918	0.0002118397596	2.364207815e-05	2.447499279e-05
4.154252339	0	0.0001783502415	0.0001795959872	1.920021131e-05	1.958492096e-05
4.198446513	0	0.0001507382533	0.0001515789342	1.673285946e-05	1.700502743e-05
4.242640687	0	0.0001271043697	0.0001278260606	1.315615856e-05	1.338252129e-05
4.286834861	0	0.0001086856667	0.000109342213	1.228022611e-05	1.254679487e-05
4.331029035	0	9.326731706e-05	9.393906279e-05	1.047459877e-05	1.082273341e-05
4.375223209	0	7.809255402e-05	7.825084478e-05	9.143367421e-06	9.199523369e-06
4.419417382	0	6.637861013e-05	6.649582392e-05	7.49910768e-06	7.551437577e-06
4.463611556	0	5.534253099e-05	5.552318869e-05	6.425840686e-06	6.524828287e-06
4.50780573	0	4.716343179e-05	4.719181649e-05	5.297986043e-06	5.319172716e-06
4.551999904	0	3.914008141e-05	3.914560888e-05	4.428780772e-06	4.430050876e-06
4.596194078	0	3.371745366e-05	3.367662113e-05	3.888584061e-06	3.865430114e-06
4.640388252	0	2.790982791e-05	2.791631579e-05	3.269367762e-06	3.27845585e-06
4.684582425	0	2.411672948e-05	2.411355771e-05	2.989916212e-06	2.990597017e-06
4.728776599	0	1.965196011e-05	1.966032517e-05	2.275910791e-06	2.283243106e-06
4.772970773	0	1.681169214e-05	1.681064264e-05	2.00103762e-06	2.001130347e-06
4.817164947	0	1.38434005e-05	1.384623954e-05	1.596556115e-06	1.59761687e-06
4.861359121	0	1.184838075e-05	1.184882272e-05	1.424051582e-06	1.423561901e-06
4.905553294	0	9.681939708e-06	9.685252781e-06	1.081780172e-06	1.082431751e-06
4.949747468	0	8.299482252e-06	8.299033915e-06	9.386610598e-07	9.38171174e-07
4.993941642	0	6.814299225e-06	6.81311633e-06	7.361061547e-07	7.352486817e-07
5.038135816	0	5.80945538e-06	5.807654072e-06	6.368220361e-07	6.360477576e-07
5.08232999	0	4.779332874e-06	4.777806332e-06	5.097918665e-07	5.089356443e-07
5.126524164	0	4.133253504e-06	4.13188734e-06	4.771678941e-07	4.765289324e-07
5.170718337	0	3.363603363e-06	3.362182848e-06	3.658302346e-07	3.6511114e-07
5.214912511	0	2.940999647e-06	2.939875096e-06	3.741361492e-07	3.736305739e-07
5.259106685	0	2.393540993e-06	2.392570018e-06	2.821555874e-07	2.81663383e-07
5.303300859	0	2.082026111e-06	2.081277918e-06	2.783016626e-07	2.779909341e-07
5.347495033	0	1.676894264e-06	1.676278411e-06	2.104461852e-07	2.10184536e-07
5.391689207	0	1.432109867e-06	1.431667121e-06	2.010991039e-07	2.00983633e-07
5.43588338	0	1.112012592e-06	1.111604018e-06	1.521037772e-07	1.520054884e-07
5.480077554	0	9.116652221e-07	9.114068159e-07	1.423417547e-07	1.422970721e-07
5.524271728	0	6.805444286e-07	6.803678009e-07	1.123976059e-07	1.123598058e-07
5.568465902	0	5.01789765e-07	5.017097158e-07	1.04055374e-07	1.040459271e-07
5.612660076	0	7.613207372e-07	7.612666046e-07	9.686988873e-08	9.686251887e-08

0	2.5	0.5897250011	0.6889054287	0.01242607672	0.01411734138
0.04419417382	2.5	0.5879396977	0.6826244833	0.01222395699	0.01394422103
0.08838834765	2.5	0.5919324007	0.6888671382	0.01236057436	0.01407793625
0.1325825215	2.5	0.5866161019	0.6839742672	0.01245919506	0.01424452572
0.1767766953	2.5	0.5738967415	0.6659304284	0.01243214899	0.01407634079
0.2209708691	2.5	0.5646451168	0.6585047564	0.01255299227	0.01401541612
0.2651650429	2.5	0.5651460695	0.654395575	0.01243552587	0.01391036698
0.3093592168	2.5	0.5659144921	0.6554619309	0.01240279124	0.01382312003
0.3535533906	2.5	0.5573755445	0.6546965599	0.0121068753	0.01374332479
0.3977475644	2.5	0.5485396308	0.6475038489	0.01160879753	0.01348536806
0.4419417382	2.5	0.5276243751	0.6226161805	0.01151894012	0.01341420168
0.4861359121	2.5	0.5172925884	0.6036549841	0.01135421725	0.01307233411
0.5303300859	2.5	0.5046013085	0.5847225606	0.01126100883	0.01281508841
0.5745242597	2.5	0.4880427325	0.5592759739	0.01115131051	0.01248622212
0.6187184335	2.5	0.4607011981	0.5283588692	0.01055294214	0.01175716751
0.6629126074	2.5	0.4500300593	0.5143295764	0.01007053298	0.01121634365
0.7071067812	2.5	0.4379391836	0.5037630123	0.009844797694	0.01096779477
0.751300955	2.5	0.4281899028	0.4947768697	0.009750685319	0.01091227215
0.7954951288	2.5	0.4290864724	0.4859486462	0.009564207588	0.0105879093
0.8396893027	2.5	0.4216043623	0.4723650342	0.009338174209	0.01026473846
0.8838834765	2.5	0.3947014405	0.4403659247	0.008940971943	0.009934945572
0.9280776503	2.5	0.3626536226	0.401855333	0.008564278773	0.009437363804
0.9722718241	2.5	0.3431679679	0.3848283856	0.00808517182	0.008970449678
1.016465998	2.5	0.3206019732	0.3594304488	0.00770460259	0.008538601677
1.060660172	2.5	0.3100679446	0.3451671167	0.007697642079	0.008526473575
1.104854346	2.5	0.2975203302	0.3286885261	0.007409673804	0.008175841804
1.149048519	2.5	0.2792385343	0.3082692735	0.006877281399	0.007642533967
1.193242693	2.5	0.2635033839	0.2908181998	0.006770886301	0.007424400161
1.237436867	2.5	0.2490054791	0.2717418209	0.006771920754	0.007398741618
1.281631041	2.5	0.2374158947	0.2599844809	0.00629303161	0.006977185838
1.325825215	2.5	0.2211231781	0.2402290764	0.00587158637	0.00651411086
1.370019389	2.5	0.2044915373	0.2197304267	0.005502826161	0.006102288259
1.414213562	2.5	0.1925812209	0.2056103493	0.005454320708	0.006029876602
1.458407736	2.5	0.1786234385	0.1887291521	0.005287678011	0.005812045411
1.50260191	2.5	0.1652698928	0.1745648301	0.004879695076	0.005277837241
1.546796084	2.5	0.1508705726	0.1589090391	0.004670500522	0.005059860124
1.590990258	2.5	0.138974711	0.1464562854	0.004423322074	0.004860561567
1.635184431	2.5	0.124460079	0.131271577	0.00420614417	0.004644711898
1.679378605	2.5	0.1122383623	0.1184477866	0.004029270176	0.004407767201
1.723572779	2.5	0.103367386	0.1089140028	0.003578720299	0.003914108829
1.767766953	2.5	0.09661533138	0.1014751634	0.003482407622	0.003754816284
1.811961127	2.5	0.08888924272	0.09323335163	0.003392382779	0.003646950166
1.856155301	2.5	0.07902795729	0.0824836801	0.003187893945	0.003404318159
1.900349474	2.5	0.06937582923	0.07191220263	0.002907635465	0.003104090428
1.944543648	2.5	0.0607260074	0.06279630064	0.002665602047	0.002848324208
1.988737822	2.5	0.05468284641	0.05622333428	0.00243440212	0.002525664249
2.032931996	2.5	0.05021618932	0.05184260813	0.002345306946	0.002476915687
2.07712617	2.5	0.04507873403	0.04690722674	0.002262205083	0.002355589889
2.121320344	2.5	0.03963572419	0.04118706666	0.001957228529	0.002158466294
2.165514517	2.5	0.03537375444	0.03661425446	0.001754628363	0.001962401119
2.209708691	2.5	0.03079025585	0.03182427321	0.001620759621	0.001829038076
2.253902865	2.5	0.0277226194	0.02859279842	0.001622185691	0.001840091401
2.298097039	2.5	0.0239524955	0.0244905195	0.001479246208	0.00164436222
2.342291213	2.5	0.02067925236	0.02114357964	0.001297705173	0.001453054682
2.386485387	2.5	0.01831493482	0.01894574571	0.001161699269	0.00131992019
2.43067956	2.5	0.0156522567	0.01613044958	0.001057293548	0.001172543997
2.474873734	2.5	0.01342482457	0.01381670204	0.0009782318051	0.001069361237
2.519067908	2.5	0.01178719622	0.01204426755	0.0009471004528	0.001021650889
2.563262082	2.5	0.01018283495	0.0104050236	0.0008666477884	0.0009434040596
2.607456256	2.5	0.009077991509	0.009184134714	0.0008879381832	0.0009152272884
2.651650429	2.5	0.008236134128	0.008436594021	0.0008830408321	0.0009606818238
2.695844603	2.5	0.007310703009	0.007484040408	0.0008332053101	0.0009378638151
2.740038777	2.5	0.006363930111	0.006503865506	0.0007746468159	0.0008714124693
2.784232951	2.5	0.005301981793	0.005367552092	0.0006260812329	0.0006881195513
2.828427125	2.5	0.004461222057	0.004464296258	0.0004939637962	0.0005156197569
2.872621299	2.5	0.00356989859	0.003554522366	0.0003770727395	0.0003858749544
2.916815472	2.5	0.003093263917	0.003071777929	0.000353228626	0.0003607140791
2.961009646	2.5	0.002865398949	0.00282771128	0.000441921008	0.0004436162097
3.00520382	2.5	0.002441998794	0.002426543344	0.0003989989549	0.0004122541607
3.049397994	2.5	0.001939209968	0.001941280167	0.0002712432045	0.0002873429695
3.093592168	2.5	0.001633796999	0.001626796856	0.0002323044883	0.0002389886323
3.137786342	2.5	0.001366811847	0.001364608442	0.0001991610245	0.0002058531697
3.181980515	2.5	0.001170423251	0.001167966434	0.0001870989366	0.0001936679334
3.226174689	2.5	0.00104428285	0.001042055979	0.0002049030453	0.0002116808828
3.270368863	2.5	0.0008600438314	0.0008590101373	0.0001690666402	0.0001759797828
3.314563037	2.5	0.0007062480743	0.0007041298433	0.0001360375113	0.0001407013538
3.358757211	2.5	0.0005804473405	0.0005770438321	0.0001127699918	0.0001159110612
3.402951384	2.5	0.0004879825051	0.00048800419	9.788965489e-05	0.0001033194832
3.447145558	2.5	0.000417753896	0.0004154527118	9.312204251e-05	9.635231941e-05
3.491339732	2.5	0.000351723543	0.0003468469468	8.117577926e-05	8.184905596e-05
3.535533906	2.5	0.0002949020277	0.0002892434481	7.065204367e-05	6.979595661e-05
3.57972808	2.5	0.0002450316587	0.0002402890764	5.960312874e-05	5.888175586e-05
3.623922254	2.5	0.0002015454081	0.0001979142439	4.825274496e-05	4.739907285e-05
3.668116427	2.5	0.0001637048866	0.0001598983747	3.768454608e-05	3.619517722e-05
3.712310601	2.5	0.0001350160251	0.0001316224286	3.05734883e-05	2.88951945e-05
3.756504775	2.5	0.0001103947304	0.0001075470605	2.418544264e-05	2.262237576e-05
3.800698949	2.5	9.251176616e-05	9.033008516e-05	2.049544082e-05	1.904638174e-05
3.844893123	2.5	7.631948289e-05	7.44315915e-05	1.696187429e-05	1.562389843e-05
3.889087297	2.5	6.249413673e-05	6.095631499e-05	1.31043243e-05	1.193469856e-05
3.93328147	2.5	5.044917139e-05	4.933620204e-05	9.866705032e-06	8.995422305e-06
3.977475644	2.5	4.098839957e-05	4.025892147e-05	7.048116299e-06	6.501305233e-06
4.021669818	2.5	3.322391713e-05	3.270907635e-05	5.456503977e-06	5.053756556e-06
4.065863992	2.5	2.716284787e-05	2.701889605e-05	3.979960079e-06	3.883058663e-06
4.110058166	2.5	2.229698408e-05	2.19904832e-05	3.140397334e-06	2.958974828e-06
4.154252339	2.5	1.813449218e-05	1.787259527e-05	2.358720562e-06	2.244402379e-06
4.198446513	2.5	1.516399345e-05	1.501007151e-05	2.010684729e-06	1.945121967e-06
4.242640687	2.5	1.232751947e-05	1.227498411e-05	1.660355154e-06	1.637736356e-06
4.286834861	2.5	1.069189413e-05	1.07475668e-05	1.486737758e-06	1.506356054e-06
4.331029035	2.5	8.372623085e-06	8.494466887e-06	1.194628473e-06	1.243041871e-06
4.375223209	2.5	7.303211879e-06	7.334678197e-06	9.899601874e-07	9.995575151e-07
4.419417382	2.5	5.714311838e-06	5.770127802e-06	8.819421198e-07	8.995822914e-07
4.463611556	2.5	5.228816663e-06	5.279917476e-06	7.354980597e-07	7.545970908e-07
4.50780573	2.5	3.95031753e-06	3.969770956e-06	6.659135469e-07	6.702670076e-07
4.551999904	2.5	3.761756349e-06	3.773522426e-06	5.262294158e-07	5.295674206e-07
4.596194078	2.5	2.650846647e-06	2.662161586e-06	4.80570296e-07	4.799783228e-07
4.640388252	2.5	2.697812471e-06	2.698825443e-06	3.5104959e-07	3.515877016e-07
