#b 	 momk 	 DP 	 WW 	 DP error 	 WW error 
0	0	0.0744233678	0.3547220395	0.03292380627	0.03559927644
0.04419417382	0	0.07430219649	0.3476292463	0.03211089392	0.03437030139
0.08838834765	0	0.07510133825	0.3710668324	0.03140165244	0.03408354347
0.1325825215	0	0.08328130492	0.376606226	0.0311147504	0.03375298725
0.1767766953	0	0.07262911015	0.3551179912	0.03078867926	0.03399402548
0.2209708691	0	0.08249228321	0.3530156183	0.0306506923	0.03416175511
0.2651650429	0	0.08059692146	0.3388371968	0.03046072523	0.03437339111
0.3093592168	0	0.0948565819	0.3304195961	0.02990189477	0.03285590124
0.3535533906	0	0.1168002889	0.3457667488	0.02915333735	0.0323141724
0.3977475644	0	0.1227547657	0.3568918233	0.02769800677	0.03155321242
0.4419417382	0	0.1174176063	0.3451771343	0.02722152115	0.03101968191
0.4861359121	0	0.1306388868	0.3594517952	0.02660928196	0.02992143652
0.5303300859	0	0.1256612292	0.3474947313	0.02620746757	0.02918444151
0.5745242597	0	0.1272753866	0.3211043219	0.02538329314	0.02834695152
0.6187184335	0	0.1298132805	0.3040996403	0.02484709501	0.02822362362
0.6629126074	0	0.128235373	0.2907162343	0.02375790844	0.02682874712
0.7071067812	0	0.1185022656	0.2811586129	0.02342865963	0.02555223544
0.751300955	0	0.1202567439	0.2835897323	0.02293351021	0.0249429557
0.7954951288	0	0.1587920258	0.3026494001	0.02144627468	0.02360177897
0.8396893027	0	0.2017724623	0.3285660987	0.02022188073	0.02258290335
0.8838834765	0	0.1901217901	0.3104547386	0.01951020554	0.02177660463
0.9280776503	0	0.1741820828	0.2734214161	0.0187762635	0.02066994204
0.9722718241	0	0.1691221428	0.2621958226	0.01766909045	0.01949508685
1.016465998	0	0.1590643281	0.2492983503	0.01683915605	0.01864490517
1.060660172	0	0.1608890006	0.2420892041	0.01661684528	0.01816161391
1.104854346	0	0.1558682767	0.2348869948	0.01631905192	0.01795013323
1.149048519	0	0.1430384834	0.2183343922	0.01548300725	0.01708230499
1.193242693	0	0.1445540027	0.2152146637	0.01448942137	0.01580714724
1.237436867	0	0.1501193289	0.2120323379	0.01358747179	0.01517346208
1.281631041	0	0.1555097332	0.2176264694	0.01260036081	0.01409553067
1.325825215	0	0.148299909	0.2048736535	0.01202917625	0.01318066628
1.370019389	0	0.1446263374	0.1917184909	0.01156445808	0.01260267852
1.414213562	0	0.1514397358	0.1901790041	0.0110605308	0.01162246822
1.458407736	0	0.1490963523	0.1809177894	0.01075469821	0.01095284946
1.50260191	0	0.1448054264	0.1738899155	0.009963050767	0.01009246724
1.546796084	0	0.1346863891	0.1590942835	0.009132875939	0.009460085393
1.590990258	0	0.1288288096	0.1517824277	0.008194324758	0.008777787198
1.635184431	0	0.1172223862	0.1391534403	0.007757536704	0.008632173981
1.679378605	0	0.1111954299	0.1318035876	0.007448460338	0.00830587241
1.723572779	0	0.1041346989	0.1227657203	0.006798968301	0.007634015181
1.767766953	0	0.1014352654	0.1188831269	0.006678484398	0.007355759804
1.811961127	0	0.09850565485	0.1145267005	0.006379361566	0.007008652447
1.856155301	0	0.0889813164	0.1044530519	0.006065556655	0.006624001634
1.900349474	0	0.07924714505	0.09309981822	0.005851282922	0.006509160992
1.944543648	0	0.07276083981	0.08447494586	0.005574321626	0.006172693521
1.988737822	0	0.06792120719	0.07887959284	0.005443737999	0.005952094111
2.032931996	0	0.06564540232	0.07542465975	0.00497738974	0.005192076869
2.07712617	0	0.06299515121	0.07231895276	0.004362075982	0.004525666336
2.121320344	0	0.05790149379	0.06650259282	0.003863637185	0.004059395113
2.165514517	0	0.05449750107	0.0622141588	0.003548812686	0.003703868865
2.209708691	0	0.05113923901	0.05752844663	0.003102806401	0.003201416202
2.253902865	0	0.04795422654	0.05351561303	0.002706041988	0.002673363847
