#b 	 momk 	 DP 	 WW 
1.74567	2.5	0.506865	0.00674594
1.78986	2.5	0.503419	0.00386345
1.83406	2.5	0.501945	0.00246868
1.87825	2.5	0.501184	0.00169721
1.92245	2.5	0.500614	0.000986629
1.96664	2.5	0.501326	0.00141741
2.01083	2.5	0.501481	0.00135348
2.05503	2.5	0.50075	0.000571241
2.09922	2.5	0.500385	0.000219983
2.14342	2.5	0.499992	-0.000117602
2.18761	2.5	0.499918	-0.000130769
2.23181	2.5	0.499944	-5.8888e-05
2.276	2.5	0.499981	4.43711e-06
2.32019	2.5	0.500037	6.37635e-05
2.36439	2.5	0.500038	5.60027e-05
2.40858	2.5	0.500057	6.246e-05
2.45278	2.5	0.500046	4.19169e-05
2.49697	2.5	0.500032	2.37091e-05
2.54116	2.5	0.500024	1.57082e-05
2.58536	2.5	0.500012	6.10609e-06
2.62955	2.5	0.500009	6.57306e-06
2.67375	2.5	0.500005	5.35532e-06
2.71794	2.5	0.500003	5.13268e-06
2.76214	2.5	0.500003	4.56017e-06
2.80633	2.5	0.500002	3.7157e-06
2.85052	2.5	0.500002	2.62358e-06
2.89472	2.5	0.500003	2.54706e-06
2.93891	2.5	0.500003	2.67097e-06
2.98311	2.5	0.500003	1.86875e-06
3.0273	2.5	0.500002	1.6081e-06
3.0715	2.5	0.500001	3.45199e-07
3.11569	2.5	0.500001	3.65829e-07
3.15988	2.5	0.499999	-3.05945e-07
3.20408	2.5	0.499999	-3.28565e-07
3.24827	2.5	0.499998	-1.5184e-06
3.29247	2.5	0.499996	-4.08822e-06
3.33666	2.5	0.499999	-4.15932e-07
3.38085	2.5	0.499999	-4.7838e-07
3.42505	2.5	0.5	5.18619e-07
3.46924	2.5	0.5	4.21555e-08
3.51344	2.5	0.5	1.56724e-07
3.55763	2.5	0.500001	6.71751e-07
3.60183	2.5	0.5	5.4681e-07
3.64602	2.5	0.500001	5.88007e-07
3.69021	2.5	0.5	1.23839e-07
3.73441	2.5	0.5	-1.81752e-07
3.7786	2.5	0.5	-3.05883e-07
3.8228	2.5	0.5	-1.37656e-08
3.86699	2.5	0.5	-2.22355e-07
3.91118	2.5	0.5	-4.31098e-07
3.95538	2.5	0.5	-2.73491e-07
3.99957	2.5	0.5	-3.22211e-07
4.04377	2.5	0.5	4.93669e-08
4.08796	2.5	0.5	2.03503e-07
