#b 	 momk 	 DP 	 WW 	 DP error 	 WW error 
0	0	0.5096848887	0.9967390152	0.4999061941	0.0570118478
0.04419417382	0	1.067202121	1.461274906	-nan	-nan
0.08838834765	0	0.6805484394	0.9971884755	0.4662641537	0.052949219
0.1325825215	0	1.005170138	0.7920596233	-nan	0.4058339272
0.1767766953	0	1.726461929	1.650935431	-nan	-nan
0.2209708691	0	1.729275836	1.263247204	-nan	-nan
0.2651650429	0	1.323921942	1.210323353	-nan	-nan
0.3093592168	0	0.1867234075	0.3272953424	0.3896893334	0.4692260663
0.3535533906	0	-0.07723738005	0.08905594532	-nan	0.2848244792
0.3977475644	0	0.01488560604	-0.04903316077	0.1210951063	-nan
0.4419417382	0	-0.1619138548	-1.059509353	-nan	-nan
0.4861359121	0	-0.2026527393	-0.8642258212	-nan	-nan
0.5303300859	0	-0.5691960635	-0.7179531366	-nan	-nan
0.5745242597	0	-0.5454091905	-0.3709619698	-nan	-nan
0.6187184335	0	-0.4236597731	0.1115167756	-nan	0.314771003
0.6629126074	0	-0.8809561127	-0.3269647543	-nan	-nan
0.7071067812	0	-0.8425596396	-0.4614926879	-nan	-nan
0.751300955	0	-0.2651828475	-0.02004876058	-nan	-nan
0.7954951288	0	-0.1174289696	0.05764625211	-nan	0.2330732969
0.8396893027	0	0.03432588352	0.08568561552	0.182064871	0.2798992512
0.8838834765	0	-0.169897059	-0.04863371404	-nan	-nan
0.9280776503	0	-0.2329592303	-0.07179059393	-nan	-nan
0.9722718241	0	-0.3200169357	-0.1937840655	-nan	-nan
1.016465998	0	-0.2240243117	-0.1294943933	-nan	-nan
1.060660172	0	-0.04018028487	0.0006135265112	-nan	0.02476186779
1.104854346	0	0.008894312727	0.03911969472	0.09388931744	0.1938797158
1.149048519	0	0.04822333463	0.06264548331	0.2142378226	0.2423242182
1.193242693	0	0.07275940678	0.07348275343	0.2597411702	0.2609272665
1.237436867	0	0.07052068041	0.06611448597	0.2560224874	0.2484821135
1.281631041	0	0.08838303579	0.08119603229	0.283851149	0.2731359307
1.325825215	0	0.06774495519	0.05888692573	0.2513077321	0.2354129472
1.370019389	0	0.08726385551	0.08085349246	0.2822213228	0.2726099874
1.414213562	0	0.07772888178	0.07533439493	0.2677444728	0.2639301496
1.458407736	0	0.05908638906	0.05770663631	0.2357863178	0.2331878651
1.50260191	0	0.03735591801	0.03643732106	0.1896324165	0.1873756726
1.546796084	0	0.02959922747	0.02888774924	0.1694789462	0.1674910361
1.590990258	0	0.01705582816	0.01705114528	0.1294794458	0.1294619779
1.635184431	0	0.01296429382	0.01167021996	0.1131203823	0.1073965825
1.679378605	0	0.009588647441	0.008658836817	0.09745104043	0.09264913039
1.723572779	0	0.009198255015	0.008734846763	0.09546542368	0.0930513257
1.767766953	0	0.005142758295	0.00436103582	0.07152838829	0.06589398445
1.811961127	0	0.005808098714	0.005302030699	0.07598924071	0.07262175411
1.856155301	0	0.005296570713	0.004924940619	0.07258455105	0.07000489682
1.900349474	0	0.005425805916	0.005206001549	0.0734599656	0.07196456834
1.944543648	0	0.006145691935	0.005970212016	0.0781531983	0.07703615115
1.988737822	0	0.005580829033	0.005534886638	0.07449619708	0.07419064407
2.032931996	0	0.005510698875	0.005427550638	0.07402925822	0.0734717111
2.07712617	0	0.005084874173	0.00499512166	0.07112677574	0.0704994356
2.121320344	0	0.004623794476	0.004573438872	0.06784110112	0.06747238346
2.165514517	0	0.004040905345	0.004064342976	0.06343954941	0.06362251246
2.209708691	0	0.003881274377	0.003936508212	0.06217885562	0.06261798556
2.253902865	0	0.003429768754	0.003490730179	0.05846371046	0.05897919109
2.298097039	0	0.002622958961	0.002703015852	0.05114762015	0.05192022301
2.342291213	0	0.002092839401	0.002160215238	0.04569966547	0.04642788718
2.386485387	0	0.001601124973	0.001667292659	0.03998201311	0.04079844107
2.43067956	0	0.001193138241	0.001264209736	0.03452122047	0.03553324513
2.474873734	0	0.0008667518199	0.0009278353657	0.02942788747	0.03044625572
2.519067908	0	0.0007195498369	0.0007769893664	0.02681477363	0.02786369778
2.563262082	0	0.0005374038909	0.0005873626803	0.02317574352	0.02422844785
2.607456256	0	0.000468503758	0.0005203527025	0.02163987667	0.02280530499
2.651650429	0	0.0003725974739	0.0004115137062	0.01929918768	0.02028162623
2.695844603	0	0.0003626347425	0.0003958031499	0.01903951781	0.01989086448
2.740038777	0	0.0003411134563	0.0003645985993	0.01846610673	0.01909098392
2.784232951	0	0.0003713445515	0.0003944900391	0.01926672403	0.01985785529
2.828427125	0	0.0003907828972	0.0004051860597	0.01976436657	0.0201251555
2.872621299	0	0.0003709057421	0.0003826876849	0.01925534136	0.01955866138
2.916815472	0	0.0003757736068	0.0003826431259	0.01938123838	0.01955752311
2.961009646	0	0.000355221537	0.0003619094559	0.01884397396	0.01902047522
3.00520382	0	0.0003443135791	0.0003492200563	0.01855249383	0.01868416714
3.049397994	0	0.0003194673474	0.0003238693481	0.01787079428	0.01799345594
3.093592168	0	0.0002887406804	0.0002914721964	0.01698991787	0.01707006855
3.137786342	0	0.0002504843053	0.0002536653979	0.01582471368	0.01592485641
3.181980515	0	0.0002164399659	0.0002190259325	0.01471030658	0.01479790391
3.226174689	0	0.0001852713096	0.0001876107611	0.01361017943	0.01369582284
3.270368863	0	0.0001528846398	0.0001549337979	0.01236370762	0.01244627629
3.314563037	0	0.0001280046693	0.0001300056454	0.01131319071	0.01140126063
3.358757211	0	0.0001076563358	0.0001093817508	0.0103751986	0.01045800107
3.402951384	0	9.679860854e-05	9.838050129e-05	0.009838152193	0.009918206621
3.447145558	0	8.257867222e-05	8.387713237e-05	0.009086905578	0.009158061858
3.491339732	0	7.127257241e-05	7.236742965e-05	0.008442007618	0.008506597005
3.535533906	0	6.332886805e-05	6.415530132e-05	0.007957691719	0.008009443515
3.57972808	0	5.802668777e-05	5.874262328e-05	0.007617304029	0.007664148523
3.623922254	0	5.392530507e-05	5.448508612e-05	0.007343187124	0.007381200275
3.668116427	0	5.27522684e-05	5.318808636e-05	0.00726288411	0.00729282232
3.712310601	0	4.900233539e-05	4.933261966e-05	0.006999995297	0.007023545113
3.756504775	0	4.683012148e-05	4.707952836e-05	0.006843093483	0.006861290832
3.800698949	0	4.633298071e-05	4.650054968e-05	0.006806675691	0.006818972604
3.844893123	0	4.387541595e-05	4.399839874e-05	0.006623706734	0.006632982955
3.889087297	0	4.363949178e-05	4.372760612e-05	0.006605875216	0.006612540663
3.93328147	0	4.004372497e-05	4.010456417e-05	0.006327884439	0.00633268946
3.977475644	0	3.817683086e-05	3.82195732e-05	0.006178622289	0.006182079946
4.021669818	0	3.389370411e-05	3.392372056e-05	0.0058217313	0.00582430852
4.065863992	0	3.114286044e-05	3.115703406e-05	0.005580491965	0.005581761666
4.110058166	0	2.779636932e-05	2.780324653e-05	0.005272152946	0.00527280509
4.154252339	0	2.560839997e-05	2.561387865e-05	0.005060409487	0.005060950759
4.198446513	0	2.31221361e-05	2.31246016e-05	0.00480849264	0.004808748991
4.242640687	0	2.138619531e-05	2.138839835e-05	0.004624471639	0.004624709817
4.286834861	0	1.869751031e-05	1.869694251e-05	0.004324021359	0.004323955705
4.331029035	0	1.751285005e-05	1.751691689e-05	0.004184799081	0.004185284942
4.375223209	0	1.544401178e-05	1.544129005e-05	0.003929856647	0.003929510354
4.419417382	0	1.444671842e-05	1.445086335e-05	0.003800856444	0.003801401653
4.463611556	0	1.237563639e-05	1.237532776e-05	0.003517880502	0.003517836638
4.50780573	0	1.220841462e-05	1.221204599e-05	0.003494032853	0.003494552455
4.551999904	0	1.12182143e-05	1.121935426e-05	0.003349341495	0.003349511664
4.596194078	0	1.100433326e-05	1.101017992e-05	0.003317259737	0.00331814085
4.640388252	0	9.555307394e-06	9.561226272e-06	0.003091151256	0.00309210848
4.684582425	0	9.070977491e-06	9.080941884e-06	0.00301179269	0.003013446436
4.728776599	0	7.975945369e-06	7.985931981e-06	0.002824160363	0.002825927849
4.772970773	0	8.496279199e-06	8.510359178e-06	0.002914825383	0.002917239577
4.817164947	0	7.114957161e-06	7.129366082e-06	0.002667378214	0.002670077762
4.861359121	0	6.786965166e-06	6.805364137e-06	0.002605171607	0.002608700409
4.905553294	0	6.070749151e-06	6.088723217e-06	0.002463881551	0.002467526321
